4	tt0598766:7.1	tt0598778:7.7	tt0598787:7.4	tt0598788:7.6	tt0598792:7.7	tt0598841:7.5	tt0598902:7.9	tt0598903:7.1	tt0598911:7.5	tt0598922:7.3	tt0598952:7.3	tt0599025:7.4	tt0599027:7.3	tt0599029:7.5	tt0599048:7.4	tt0599052:7.3	
13	tt0598767:7.4	tt0598770:7.6	tt0598804:7.9	tt0598821:7.7	tt0598822:8.5	tt0598826:7.4	tt0598829:7.3	tt0598831:7.4	tt0598832:7.3	tt0598849:7.8	tt0598899:7.8	tt0598916:7.7	tt0598917:7.8	tt0598919:7.3	tt0598923:7.5	tt0598928:8.0	tt0598938:7.5	tt0598961:7.4	tt0598980:7.4	tt0598984:7.8	tt0598987:8.0	tt0598989:7.8	tt0599000:7.5	tt0599012:7.6	tt0599037:7.8	
3	tt0598768:6.8	tt0598785:7.3	tt0598803:7.4	tt0598824:7.3	tt0598837:7.5	tt0598846:7.6	tt0598867:7.6	tt0598953:7.7	tt0598981:7.6	tt0599006:7.7	
12	tt0598769:7.8	tt0598773:8.0	tt0598775:8.1	tt0598780:7.0	tt0598802:8.0	tt0598808:8.2	tt0598827:7.6	tt0598853:7.9	tt0598870:8.1	tt0598871:8.1	tt0598879:8.1	tt0598882:7.2	tt0598883:8.1	tt0598898:7.6	tt0598907:7.4	tt0598914:7.1	tt0598918:7.7	tt0598920:7.6	tt0598925:7.9	tt0598939:7.9	tt0598970:7.8	tt0598972:7.7	tt0599011:7.8	tt0599021:8.1	tt0599043:7.9	
15	tt0598771:8.1	tt0598789:7.4	tt0598799:7.2	tt0598805:7.4	tt0598845:7.8	tt0598880:7.6	tt0598891:7.6	tt0598900:8.0	tt0598910:7.8	tt0598912:7.6	tt0598930:8.0	tt0598945:7.4	tt0598954:7.5	tt0599001:7.1	tt0599002:7.8	tt0599008:7.9	tt0793886:7.2	tt0793887:7.0	tt0805283:7.3	tt0805284:6.9	tt0805868:7.1	tt0818248:7.7	tt0822893:6.8	tt0823031:7.1	tt0824967:7.6	tt0824968:7.6	
11	tt0598772:7.6	tt0598810:8.3	tt0598815:7.6	tt0598817:7.6	tt0598819:8.1	tt0598860:7.3	tt0598875:7.8	tt0598877:6.6	tt0598897:7.7	tt0598904:8.0	tt0598906:7.8	tt0598924:7.6	tt0598935:7.8	tt0598956:8.2	tt0598962:6.8	tt0598968:7.5	tt0598990:7.9	tt0598992:7.9	tt0599009:7.5	tt0599013:7.5	tt0599017:7.6	tt0599019:7.9	tt0599034:7.6	tt0599049:7.2	
6	tt0598774:7.4	tt0598807:7.7	tt0598809:7.6	tt0598813:8.2	tt0598855:7.6	tt0598856:8.0	tt0598866:8.0	tt0598893:7.7	tt0598931:8.3	tt0598933:7.8	tt0598934:8.1	tt0598976:7.5	tt0598977:7.5	tt0598995:7.9	tt0598997:8.4	tt0598999:7.8	tt0599045:8.2	
9	tt0598776:7.2	tt0598782:-	tt0598784:6.4	tt0598825:7.0	tt0598848:8.6	tt0598851:7.5	tt0598862:8.5	tt0598874:7.4	tt0598878:-	tt0598889:7.6	tt0598895:6.4	tt0598909:-	tt0598921:8.0	tt0598926:7.9	tt0598951:7.9	tt0598969:7.8	tt0598983:6.9	tt0599007:7.0	tt0599018:8.1	tt0599020:8.3	tt0599026:8.2	tt0599041:7.9	tt0599050:-	tt0599053:-	
2	tt0598777:7.6	tt0598790:7.5	tt0598794:7.7	tt0598796:8.6	tt0598836:7.9	tt0598908:7.8	tt0598913:7.9	tt0598941:7.9	tt0598963:7.6	tt0599038:7.6	
14	tt0598779:7.6	tt0598795:7.3	tt0598797:7.3	tt0598806:7.7	tt0598833:7.5	tt0598838:7.2	tt0598842:7.4	tt0598859:7.5	tt0598868:7.4	tt0598884:8.1	tt0598885:7.1	tt0598886:7.8	tt0598888:7.7	tt0598915:7.6	tt0598932:7.4	tt0598949:7.6	tt0598957:6.6	tt0598960:7.9	tt0598964:8.0	tt0598965:7.4	tt0598967:7.4	tt0598986:7.5	tt0599010:7.2	tt0599014:7.3	tt0599046:7.8	tt0599054:7.3	
7	tt0598781:8.8	tt0598786:8.3	tt0598791:8.1	tt0598793:8.4	tt0598801:7.9	tt0598816:7.9	tt0598850:7.6	tt0598857:8.2	tt0598873:7.5	tt0598887:8.4	tt0598896:7.9	tt0598901:7.7	tt0598905:7.8	tt0598944:8.6	tt0598946:8.1	tt0598948:7.6	tt0598973:8.5	tt0598978:7.7	tt0598988:8.6	tt0599003:7.8	tt0599004:7.7	tt0599016:8.2	tt0599032:7.8	tt0599042:8.2	
8	tt0598783:8.5	tt0598823:8.2	tt0598834:8.5	tt0598835:7.9	tt0598843:8.2	tt0598847:8.7	tt0598852:8.2	tt0598854:8.0	tt0598858:8.2	tt0598865:8.2	tt0598872:8.2	tt0598881:8.1	tt0598936:8.2	tt0598942:8.4	tt0598943:8.3	tt0598966:8.1	tt0598975:8.2	tt0598982:8.0	tt0598993:7.9	tt0598994:7.8	tt0598996:8.2	tt0599030:8.1	tt0599044:8.9	tt0758480:8.2	
10	tt0598798:7.6	tt0598811:8.2	tt0598814:8.0	tt0598818:8.3	tt0598820:7.9	tt0598828:8.1	tt0598844:8.4	tt0598863:8.2	tt0598864:8.2	tt0598876:7.6	tt0598894:7.5	tt0598927:8.6	tt0598958:8.8	tt0598974:7.6	tt0598985:8.2	tt0598991:7.8	tt0598998:8.0	tt0599005:8.0	tt0599015:8.4	tt0599022:8.5	tt0599028:8.1	tt0599031:7.2	tt0599039:8.0	tt0599047:8.2	
5	tt0598800:7.5	tt0598830:7.9	tt0598839:7.6	tt0598869:7.0	tt0598890:7.8	tt0598959:8.5	tt0598971:7.6	tt0598979:7.3	tt0599023:8.0	tt0599024:7.8	tt0599033:8.2	tt0599035:7.5	tt0599036:7.5	tt0599040:7.8	tt0599051:7.7	
1	tt0598812:8.2	tt0598840:7.5	tt0598861:8.0	tt0598892:8.1	tt0598929:7.6	tt0598937:8.0	tt0598940:8.3	tt0598947:7.5	tt0598950:7.4	tt0598955:7.8	
16	tt0883722:7.6	tt0890444:7.8	tt0896145:7.9	tt0904628:7.8	tt0906952:7.8	tt0911802:7.3	tt0915351:7.6	tt0917133:7.2	tt0917134:7.9	tt0917135:6.4	tt0917136:7.5	tt0927302:8.0	tt1025570:7.8	tt1031794:7.9	tt1034871:7.7	tt1040596:6.9	tt1045402:7.6	tt1057090:7.4	tt1061234:7.5	tt1065908:6.6	tt1073840:7.8	tt1075546:7.2	tt1077660:6.8	tt1081365:7.7	
17	tt1140235:7.8	tt1143401:7.8	tt1147071:8.1	tt1150634:7.9	tt1157947:7.6	tt1163518:8.0	tt1168900:7.6	tt1169482:7.6	tt1172098:7.6	tt1209733:7.6	tt1210690:7.2	tt1215291:6.5	tt1234507:7.4	tt1237641:7.6	tt1240178:7.7	tt1267946:8.3	tt1269642:7.6	tt1269643:7.6	tt1276013:8.1	tt1283301:8.0	tt1286694:7.8	tt1287113:7.4	tt1296037:7.8	tt1299584:7.9	
18	tt1307193:8.0	tt1310810:8.2	tt1313968:7.8	tt1317909:8.0	tt1321270:8.5	tt1325176:7.7	tt1421151:7.6	tt1425521:7.6	tt1427390:8.1	tt1434756:7.4	tt1439320:7.5	tt1443964:7.2	tt1447321:7.6	tt1451526:7.5	tt1456719:7.9	tt1498658:8.1	tt1499385:7.8	tt1500010:7.8	tt1501933:7.2	tt1501934:7.9	tt1502528:8.0	tt1503675:8.0	tt1504072:7.7	tt1509420:8.3	
