4	tt0582326:8.0	tt0582328:8.3	tt0582345:8.5	tt0582346:7.5	tt0582370:7.9	tt0582372:8.6	tt0582377:8.3	tt0582402:8.3	tt0582421:9.5	tt0582422:8.3	tt0582443:7.5	tt0582446:8.0	tt0582455:8.9	tt0582467:7.9	tt0582469:7.8	tt0582486:8.1	tt0582487:7.8	tt0582535:8.2	tt0582559:9.1	tt0582561:7.7	tt0582566:8.3	tt0582568:8.0	tt0582570:8.7	
8	tt0582327:7.4	tt0582332:7.7	tt0582342:8.2	tt0582343:8.4	tt0582367:7.7	tt0582368:7.3	tt0582373:8.4	tt0582384:7.4	tt0582400:7.4	tt0582409:8.0	tt0582426:8.3	tt0582430:8.3	tt0582434:7.3	tt0582442:7.4	tt0582450:7.1	tt0582462:7.7	tt0582493:7.4	tt0582500:7.9	tt0582510:8.6	tt0582518:7.5	tt0582532:7.4	tt0582544:7.6	tt0582551:8.3	tt0582562:7.6	
11	tt0582329:8.1	tt0582341:8.2	tt0582354:8.4	tt0582361:8.3	tt0582365:7.4	tt0582369:7.8	tt0582381:7.9	tt0582411:7.5	tt0582413:7.0	tt0582417:8.8	tt0582419:8.3	tt0582425:8.7	tt0582432:8.1	tt0582448:8.5	tt0582451:7.7	tt0582454:8.1	tt0582463:8.5	tt0582466:8.0	tt0582489:7.5	tt0582515:7.1	tt0582517:7.8	tt0582524:9.2	tt0582546:7.4	tt0756480:9.3	
1	tt0582330:8.6	tt0582344:7.8	tt0582347:8.3	tt0582350:8.1	tt0582359:7.9	tt0582360:7.7	tt0582376:7.7	tt0582383:8.2	tt0582401:7.6	tt0582403:8.5	tt0582414:8.1	tt0582418:8.0	tt0582423:7.9	tt0582431:7.9	tt0582453:8.5	tt0582464:8.8	tt0582468:7.9	tt0582492:8.0	tt0582507:8.0	tt0582522:7.7	tt0582531:8.6	tt0582553:8.4	tt0582573:8.8	tt0582585:7.8	
10	tt0582331:7.5	tt0582340:7.3	tt0582356:7.4	tt0582371:8.5	tt0582387:7.7	tt0582388:8.3	tt0582391:7.9	tt0582393:7.4	tt0582395:8.6	tt0582412:7.9	tt0582438:7.2	tt0582440:7.3	tt0582444:7.7	tt0582475:7.7	tt0582480:8.3	tt0582483:8.4	tt0582502:7.1	tt0582508:8.3	tt0582511:7.9	tt0582523:7.2	tt0582534:7.3	tt0582549:8.1	tt0582574:7.9	tt0582578:7.5	
7	tt0582333:8.4	tt0582348:8.8	tt0582352:7.6	tt0582374:8.5	tt0582392:7.6	tt0582394:7.7	tt0582427:7.7	tt0582456:8.1	tt0582459:7.6	tt0582471:9.1	tt0582476:8.4	tt0582477:8.0	tt0582479:7.7	tt0582504:7.6	tt0582505:8.7	tt0582506:9.2	tt0582516:7.8	tt0582525:7.6	tt0582526:8.3	tt0582539:7.9	tt0582557:7.7	tt0582564:8.2	tt0582572:8.3	tt0582583:7.9	
3	tt0582334:8.0	tt0582363:8.3	tt0582364:7.6	tt0582366:7.8	tt0582405:8.0	tt0582407:7.8	tt0582424:8.5	tt0582435:7.4	tt0582439:8.0	tt0582441:7.6	tt0582445:8.3	tt0582449:7.9	tt0582457:9.2	tt0582474:7.7	tt0582495:8.1	tt0582496:8.1	tt0582499:8.1	tt0582514:8.4	tt0582528:8.0	tt0582529:7.1	tt0582538:8.2	tt0582552:7.9	tt0582582:8.1	tt0582584:8.3	
2	tt0582335:7.9	tt0582336:8.1	tt0582337:8.4	tt0582339:8.9	tt0582355:8.3	tt0582358:7.6	tt0582375:8.3	tt0582390:7.7	tt0582398:8.2	tt0582399:7.7	tt0582478:8.2	tt0582485:7.9	tt0582490:8.3	tt0582501:7.8	tt0582503:8.1	tt0582519:8.1	tt0582520:8.3	tt0582521:8.1	tt0582536:9.0	tt0582543:9.3	tt0582554:8.0	tt0582560:7.7	tt0582586:7.9	tt0756478:8.9	
5	tt0582338:7.6	tt0582349:7.7	tt0582351:7.5	tt0582380:7.3	tt0582396:8.7	tt0582404:7.4	tt0582410:8.6	tt0582420:9.1	tt0582465:7.8	tt0582472:7.7	tt0582473:8.6	tt0582482:8.9	tt0582484:8.5	tt0582509:7.7	tt0582513:7.9	tt0582530:8.4	tt0582537:7.9	tt0582540:8.3	tt0582542:8.2	tt0582545:8.1	tt0582556:9.6	tt0582563:7.9	tt0582576:8.2	tt0582581:7.7	
9	tt0582353:8.4	tt0582357:7.4	tt0582362:7.9	tt0582378:7.8	tt0582385:7.5	tt0582386:8.1	tt0582406:7.5	tt0582436:7.2	tt0582437:7.6	tt0582447:7.6	tt0582458:7.6	tt0582460:7.2	tt0582461:7.0	tt0582481:8.2	tt0582494:7.2	tt0582527:7.7	tt0582533:7.7	tt0582541:8.0	tt0582547:8.2	tt0582548:8.2	tt0582558:7.7	tt0582565:7.7	tt0582577:7.3	tt0582579:7.9	
6	tt0582379:8.5	tt0582382:8.7	tt0582389:8.1	tt0582397:7.3	tt0582408:7.6	tt0582415:7.8	tt0582416:7.9	tt0582428:7.6	tt0582429:8.2	tt0582433:8.1	tt0582452:8.7	tt0582470:7.6	tt0582488:7.4	tt0582491:7.7	tt0582497:8.1	tt0582498:8.5	tt0582512:8.0	tt0582550:8.3	tt0582555:7.2	tt0582569:9.0	tt0582571:8.3	tt0582575:8.4	tt0582580:8.1	tt0756479:8.3	
