\N	tt10307360:-	tt10829240:-	tt10829268:-	tt10829300:-	tt10829318:-	tt6855194:-	tt7470078:-	
1	tt1159140:-	tt1191613:-	tt1191614:-	tt12526462:-	tt2243374:-	
10	tt1191615:-	tt1191616:-	tt12651552:-	
11	tt1191617:-	tt1191618:-	
12	tt1191619:-	tt1191620:-	
13	tt1191621:-	tt1191622:-	
14	tt1191623:-	tt1191624:-	
15	tt1191625:-	tt1191626:-	
2	tt1191627:-	tt1191628:-	tt13034870:-	tt13063738:-	tt13195100:-	tt2243378:-	tt9441682:-	
3	tt1191629:-	tt1191630:-	tt13529698:-	tt13529702:-	tt13563668:-	tt13563670:-	tt13606394:-	
4	tt1191631:-	tt1191632:-	tt3977304:-	tt4119378:-	tt4137428:-	tt4143624:-	tt4147092:-	
5	tt1191633:-	tt1191634:-	
6	tt1191635:-	tt1191636:-	tt4151498:-	tt4156652:-	tt4160302:-	tt4183752:-	
7	tt1191637:-	tt1191638:-	tt13345314:-	tt4190302:-	tt4195104:-	tt4210998:-	tt4214104:-	
8	tt1191639:-	tt1191640:-	
9	tt1191641:-	tt1191642:-	
