21	tt0550482:-	tt12061258:-	tt1303323:-	tt1531183:-	tt4415082:-	
22	tt0550483:-	tt12061318:-	tt1303324:-	tt1362663:-	tt2322845:-	tt5288664:-	
23	tt0786765:-	tt12061412:-	tt12065030:-	
24	tt1023550:-	tt12061462:-	tt12065130:-	tt4431382:-	
1	tt1056908:-	tt4525898:-	tt8973304:-	tt8973336:-	tt8973352:-	tt8973368:-	
\N	tt12047512:-	tt12061608:-	tt12061610:-	tt12061698:-	tt12061720:-	tt12063204:-	tt12063230:-	tt12070058:-	tt12145374:-	tt1385557:-	tt1548663:-	tt1977215:-	tt2771862:-	
26	tt12060956:-	tt12061712:-	tt1428122:-	
18	tt12061094:-	
19	tt12061210:-	
20	tt12061218:-	tt1374182:-	
25	tt12061558:-	tt1628220:-	tt2241853:-	
27	tt12061680:-	tt1714412:-	tt1730450:-	tt1762539:-	tt1822468:-	
29	tt12061776:-	tt2434758:-	
33	tt12061860:-	tt5879602:-	
34	tt12061894:-	tt6079136:-	
35	tt12061930:-	
30	tt12063568:-	tt2788700:-	tt2953128:-	tt2955228:-	tt3112932:-	tt3186832:-	tt3311846:-	tt3697486:-	
32	tt12064208:-	tt4496456:-	tt5081268:-	
14	tt1406341:-	tt8980268:-	tt8980274:-	tt8980280:-	tt8980284:-	tt8980288:-	tt8980298:-	tt8980300:-	tt8980306:-	tt8980312:-	tt8980346:-	tt8980348:-	
17	tt1459276:-	tt9230096:-	tt9230098:-	tt9230102:-	tt9230104:-	tt9230108:-	tt9230110:-	tt9230112:-	tt9230114:-	tt9230116:-	tt9230118:-	
28	tt1882307:-	tt2045154:-	tt4132406:-	
31	tt2178764:-	tt3550890:-	tt3622344:-	tt3760888:-	tt4045454:-	tt4390070:-	tt4515746:-	tt6258456:-	
10	tt2210612:-	tt4516912:-	tt8979950:-	tt8979958:-	tt8979964:-	tt8979968:-	tt8979976:-	tt8979980:-	tt8979984:-	tt8979986:-	
16	tt2829398:-	tt5504654:-	tt5504656:-	tt8574540:-	tt9230000:-	tt9230002:-	tt9230042:-	tt9230046:-	tt9230048:-	tt9230050:-	tt9230052:-	
8	tt4854104:-	tt6682472:-	tt8976786:-	tt8976790:-	tt8976796:-	tt8976798:-	tt8976804:-	tt8976806:-	tt8976810:-	tt8976816:-	
7	tt6708352:-	tt8976624:-	tt8976626:-	tt8976628:-	tt8976630:-	tt8976636:-	tt8976638:-	tt8976640:-	tt8976642:-	tt8976646:-	
13	tt7071286:-	tt8980134:-	tt8980142:-	tt8980148:-	tt8980152:-	tt8980156:-	tt8980164:-	tt8980176:-	tt8980180:-	tt8980188:-	
2	tt8973382:-	tt8973414:-	tt8973502:-	tt8973530:-	tt8973536:-	tt8973542:-	tt8973554:-	tt8973570:-	tt8973582:-	
3	tt8973598:-	tt8973610:-	tt8973620:-	tt8973636:-	tt8973648:-	tt8973660:-	tt8973662:-	tt8973672:-	tt8973682:-	tt8973696:-	
4	tt8973726:-	tt8973738:-	tt8973752:-	tt8973772:-	tt8973778:-	tt8973782:-	tt8973794:-	tt8973808:-	tt8973812:-	tt8973826:-	
5	tt8976544:-	tt8976552:-	tt8976556:-	tt8976558:-	tt8976560:-	tt8976562:-	tt8976564:-	tt8976568:-	tt8976720:-	tt8976746:-	
6	tt8976572:-	tt8976578:-	tt8976580:-	tt8976586:-	tt8976596:-	tt8976598:-	tt8976604:-	tt8976606:-	tt8976614:-	tt8976618:-	
9	tt8979874:-	tt8979878:-	tt8979884:-	tt8979888:-	tt8979894:-	tt8979900:-	tt8979904:-	tt8979906:-	tt8979910:-	tt8979912:-	
11	tt8980016:-	tt8980020:-	tt8980022:-	tt8980024:-	tt8980030:-	tt8980034:-	tt8980036:-	tt8980038:-	tt8980042:-	tt8980046:-	
12	tt8980080:-	tt8980082:-	tt8980084:-	tt8980086:-	tt8980090:-	tt8980092:-	tt8980094:-	tt8980098:-	tt8980102:-	tt8980108:-	
15	tt9229964:-	tt9229966:-	tt9229968:-	tt9229970:-	tt9229972:-	tt9229976:-	tt9229978:-	tt9229980:-	tt9229982:-	tt9229984:-	tt9229988:-	tt9229990:-	
