1	tt0907570:-	tt12824588:-	tt12830794:-	tt12830796:-	tt12830802:-	tt12830804:-	tt12830806:-	tt12830808:-	tt12830814:-	tt12830822:-	tt12834130:-	tt12834142:-	tt12834144:-	tt12834146:-	tt12834148:-	tt12834152:-	tt12834154:-	tt12834156:-	tt12834158:-	tt12834160:-	tt12834162:-	tt12834164:-	tt12834166:-	tt12834168:-	tt12834170:-	tt12834172:-	tt12834174:-	tt12834176:-	tt12834180:-	tt12834182:-	tt12834184:-	tt12834186:-	tt12834188:-	tt12834192:-	tt1737416:-	
8	tt12830824:-	tt12830826:-	tt12830828:-	tt12830830:-	tt12830832:-	tt12830834:-	tt12830840:-	tt12830842:-	tt12834196:-	tt12834198:-	tt12834200:-	tt12834202:-	tt12834206:-	tt12834208:-	tt12834210:-	tt12834214:-	tt12834216:-	tt12834218:-	tt12834222:-	tt12834224:-	tt12834226:-	tt12834228:-	tt12834234:-	tt12834236:-	tt12834238:-	tt12834240:-	tt12834242:-	tt12834244:-	tt12834246:-	tt12834248:-	tt12834252:-	tt12834254:-	tt12834256:-	tt1737409:-	tt1737410:-	tt1737421:-	
2	tt12830846:-	tt12842434:-	tt12842438:-	tt12842440:-	tt12842442:-	tt12842446:-	tt12842448:-	tt12842450:-	tt12842454:-	tt12842456:-	tt12842458:-	tt12842460:-	tt12842462:-	tt12842464:-	tt12842466:-	tt12842468:-	tt12842472:-	tt12842474:-	tt12842476:-	tt12842478:-	tt12842480:-	tt12846564:-	tt12846568:-	tt12846570:-	tt12846572:-	tt12846578:-	tt12846580:-	tt12846582:-	tt12846586:-	tt12846588:-	tt12846594:-	tt12846596:-	tt12846600:-	tt12846604:-	tt12846606:-	
3	tt12830850:-	tt12854270:-	tt12854272:-	tt12854274:-	tt12854276:-	tt12854278:-	tt12854280:-	tt12854286:-	tt12854288:-	tt12854290:-	tt12854292:-	tt12854294:-	tt12854296:-	tt12854298:-	tt12854304:-	tt12854306:-	tt12854308:-	tt12854310:-	tt12854312:-	tt12854316:-	tt12858158:-	tt12858160:-	tt12858170:-	tt12858172:-	tt12858174:-	tt12858176:-	tt12858178:-	tt12858180:-	tt12858182:-	tt12858184:-	tt12858186:-	tt12858190:-	tt12858192:-	tt12858196:-	tt1737420:-	
4	tt12830852:-	tt12865014:-	tt12865016:-	tt12865020:-	tt12865022:-	tt12865028:-	tt12865046:-	tt12865048:-	tt12865052:-	tt12865054:-	tt12865058:-	tt12865060:-	tt12865062:-	tt12865068:-	tt12865074:-	tt12865076:-	tt12865080:-	tt12865084:-	tt12865088:-	tt12870024:-	tt12870026:-	tt12870030:-	tt12870032:-	tt12870034:-	tt12870036:-	tt12870038:-	tt12870042:-	tt12870044:-	tt12870048:-	tt12870050:-	tt12870052:-	tt12870054:-	tt12870056:-	tt1737395:-	tt1737398:-	
5	tt12830854:-	tt12883394:-	tt12883396:-	tt12883398:-	tt12883400:-	tt12883402:-	tt12883404:-	tt12883406:-	tt12883408:-	tt12883412:-	tt12883414:-	tt12883416:-	tt12883418:-	tt12883420:-	tt12883422:-	tt12883424:-	tt12883426:-	tt12883428:-	tt12883432:-	tt12883436:-	tt12883438:-	tt12890612:-	tt12890616:-	tt12890620:-	tt12890622:-	tt12890624:-	tt12890626:-	tt12890632:-	tt12890634:-	tt12890636:-	tt12890638:-	tt12890642:-	tt12890648:-	tt12890650:-	tt12890652:-	
6	tt12830856:-	tt12890666:-	tt12890668:-	tt12890670:-	tt12890672:-	tt12890678:-	tt12890680:-	tt12890682:-	tt12890684:-	tt12890686:-	tt12890690:-	tt12890692:-	tt12890696:-	tt12890698:-	tt12890700:-	tt12890702:-	tt12890704:-	tt12890706:-	tt12890708:-	tt12890710:-	tt12890712:-	tt12890714:-	tt12890716:-	tt12890720:-	tt12890724:-	tt12890728:-	tt12890734:-	tt12890740:-	tt12890746:-	tt12890752:-	tt12890754:-	tt12890756:-	tt1737401:-	tt1737402:-	tt1737405:-	
7	tt12830858:-	tt12895940:-	tt12895944:-	tt12895946:-	tt12895948:-	tt12895950:-	tt12895952:-	tt12895954:-	tt12895956:-	tt12895958:-	tt12895962:-	tt12895964:-	tt12895968:-	tt12895972:-	tt12895974:-	tt12895976:-	tt12895978:-	tt12895980:-	tt12895982:-	tt12895984:-	tt12895986:-	tt12895988:-	tt12895990:-	tt12895992:-	tt12895994:-	tt12895998:-	tt12896000:-	tt12896002:-	tt12896004:-	tt12896008:-	tt12896010:-	tt12896012:-	tt12896016:-	tt12896018:-	tt12896020:-	tt12896022:-	tt12896024:-	tt1737396:-	tt1737399:-	tt1737404:-	
9	tt12830860:-	tt12842482:-	tt12842484:-	tt12842486:-	tt12842488:-	tt12842490:-	tt12842494:-	tt12842496:-	tt12842498:-	tt12842500:-	tt12842502:-	tt12842504:-	tt12842506:-	tt12842508:-	tt12842510:-	tt12842512:-	tt12842514:-	tt12842516:-	tt12842518:-	tt12842520:-	tt12842522:-	tt12846498:-	tt12846512:-	tt12846514:-	tt12846518:-	tt12846522:-	tt12846524:-	tt12846526:-	tt12846530:-	tt12846532:-	tt12846540:-	tt12846542:-	tt12846544:-	tt12846546:-	tt12846550:-	
10	tt12830862:-	tt12854318:-	tt12854320:-	tt12854324:-	tt12854326:-	tt12854328:-	tt12854330:-	tt12854334:-	tt12854336:-	tt12854338:-	tt12854340:-	tt12854342:-	tt12854344:-	tt12854346:-	tt12854350:-	tt12854354:-	tt12854356:-	tt12854358:-	tt12854360:-	tt12854362:-	tt12854364:-	tt12858122:-	tt12858126:-	tt12858128:-	tt12858130:-	tt12858132:-	tt12858136:-	tt12858138:-	tt12858140:-	tt12858142:-	tt12858144:-	tt12858146:-	tt12858148:-	tt12858154:-	tt12858156:-	
11	tt12830864:-	tt12865090:-	tt12865096:-	tt12865100:-	tt12865104:-	tt12865106:-	tt12865110:-	tt12865116:-	tt12865120:-	tt12865122:-	tt12865124:-	tt12865126:-	tt12865132:-	tt12865134:-	tt12865136:-	tt12865140:-	tt12865144:-	tt12865150:-	tt12865152:-	tt12865154:-	tt12865156:-	tt12869968:-	tt12869974:-	tt12869978:-	tt12869980:-	tt12869982:-	tt12869984:-	tt12869988:-	tt12869990:-	tt12870006:-	tt12870008:-	tt12870010:-	tt12870012:-	tt12870014:-	tt12870016:-	
12	tt12830866:-	tt12904122:-	tt12904124:-	tt12904126:-	tt12904128:-	tt12904132:-	tt12904134:-	tt12904136:-	tt12904140:-	tt12910822:-	tt12910834:-	tt12910836:-	tt12910838:-	tt12910840:-	tt12910842:-	tt12910846:-	tt12910848:-	tt12910850:-	tt12910852:-	tt12910854:-	tt12910856:-	tt12910858:-	tt12910860:-	tt1737397:-	tt1737400:-	tt1737403:-	tt1737406:-	tt1737408:-	tt1737411:-	tt1737413:-	tt1737415:-	tt1737417:-	tt1737418:-	tt1737419:-	tt1737424:-	
13	tt12830868:-	tt12877890:-	tt12877910:-	tt12877922:-	tt12877924:-	tt12883356:-	tt12883378:-	tt12883384:-	tt12883388:-	tt12883390:-	tt1737412:-	tt1737422:-	tt1739584:-	tt1739586:-	tt1739587:-	tt1739592:-	tt1739595:-	tt1739597:-	tt1739598:-	tt1739599:-	tt1739602:-	tt1739603:-	tt1739604:-	tt1739605:-	tt1739608:-	tt1739609:-	tt1739610:-	tt1739614:-	tt1739619:-	tt1739620:-	tt1739621:-	tt1739622:-	tt1739626:-	tt1745250:-	tt1745252:-	
14	tt12830870:-	tt12919130:-	tt12919132:-	tt12919134:-	tt12919140:-	tt12919142:-	tt12919144:-	tt12919146:-	tt12919148:-	tt12919152:-	tt12919154:-	tt12919156:-	tt12919158:-	tt1580144:-	tt1739582:-	tt1739583:-	tt1739585:-	tt1739588:-	tt1739589:-	tt1739590:-	tt1739591:-	tt1739593:-	tt1739594:-	tt1739600:-	tt1739606:-	tt1739607:-	tt1739611:-	tt1739612:-	tt1739613:-	tt1739615:-	tt1739616:-	tt1739617:-	tt1739623:-	tt1739625:-	
\N	tt1737414:-	tt1739618:-	
