17	tt10796250:-	tt14483136:-	tt14483146:-	tt14483162:-	tt14483172:-	tt14483178:-	tt14483216:-	tt14483220:-	tt14483222:-	tt14483230:-	tt14483234:-	tt14489800:-	tt14489824:-	tt14489830:-	tt14489840:-	tt14489846:-	tt14489856:-	tt14489860:-	tt14489868:-	tt14489872:-	tt14489876:-	tt14489890:-	tt14489898:-	tt14489902:-	tt14489908:-	tt14489914:-	tt14490192:-	tt14490196:-	tt14490198:-	tt14490200:-	tt14490208:-	tt14490248:-	tt14490252:-	tt14490254:-	tt14490262:-	tt14490264:-	tt14490270:-	tt14490272:-	tt14490274:-	tt14490278:-	tt14490282:-	tt14490478:-	tt14490480:-	tt14490482:-	tt14490486:-	tt14490488:-	tt14490492:-	tt14490496:-	tt14490498:-	tt14490500:-	tt14490504:-	tt14490506:-	
18	tt12269170:-	tt14490840:-	tt14490844:-	tt14490848:-	tt14490850:-	tt14490852:-	tt14490854:-	tt14490856:-	tt14490860:-	tt14490862:-	tt14490870:-	tt14495266:-	tt14495268:-	tt14495274:-	tt14495278:-	tt14495286:-	tt14495288:-	tt14495292:-	tt14495298:-	tt14495304:-	tt14495312:-	tt14495896:-	tt14495898:-	tt14495902:-	tt14495908:-	tt14495910:-	tt14495914:-	tt14495916:-	tt14495918:-	tt14495924:-	tt14495928:-	tt14496162:-	tt14496164:-	tt14496166:-	tt14496168:-	tt14496170:-	tt14496172:-	tt14496178:-	tt14496182:-	tt14496186:-	tt14496188:-	tt14502800:-	tt14507654:-	tt14507660:-	tt14507670:-	tt14507676:-	tt14507700:-	tt14507722:-	tt14507730:-	tt14507734:-	tt14507756:-	tt14507782:-	
1	tt14432628:-	tt14432634:-	tt14432640:-	tt14432644:-	tt14432708:-	tt14432764:-	tt14432766:-	tt14432768:-	tt14432770:-	tt14432772:-	tt14432778:-	tt4957688:-	
2	tt14432858:-	tt14432862:-	tt14432864:-	tt14432868:-	tt14432872:-	tt14432878:-	tt14433358:-	tt14433364:-	tt14433372:-	tt14433378:-	tt4961036:-	
3	tt14433648:-	tt14433654:-	tt14433658:-	tt14437496:-	tt14437498:-	tt14437500:-	tt14437502:-	tt14437504:-	tt14437538:-	tt14437542:-	tt14437546:-	tt14437550:-	tt4961068:-	
4	tt14437870:-	tt14437874:-	tt14437876:-	tt14437882:-	tt14437886:-	tt14437890:-	tt14437934:-	tt14437938:-	tt14437942:-	tt14437948:-	tt14437958:-	tt14437966:-	tt14438000:-	tt4961076:-	
5	tt14437992:-	tt14438346:-	tt14438350:-	tt14438354:-	tt14438358:-	tt14438360:-	tt14438362:-	tt14438366:-	tt14439116:-	tt14439118:-	tt14439122:-	tt14439124:-	tt14439128:-	tt4961086:-	
6	tt14439450:-	tt14439454:-	tt14439456:-	tt14439468:-	tt14439470:-	tt14439474:-	tt14439478:-	tt14439590:-	tt14439598:-	tt14439610:-	tt14439612:-	tt14439614:-	tt14439618:-	tt4961114:-	
7	tt14444892:-	tt14444898:-	tt14444902:-	tt14444904:-	tt14444908:-	tt14444918:-	tt14444924:-	tt14444930:-	tt14444934:-	tt14444936:-	tt14444944:-	tt14444946:-	tt14444952:-	tt4963540:-	
8	tt14450636:-	tt14450638:-	tt14450646:-	tt14450652:-	tt14450654:-	tt14450656:-	tt14450658:-	tt14450660:-	tt14450666:-	tt14450670:-	tt14450676:-	tt14450684:-	tt14450692:-	tt4963562:-	
9	tt14451158:-	tt14451166:-	tt14451172:-	tt14451196:-	tt14451208:-	tt14451228:-	tt14451246:-	tt14451264:-	tt14451282:-	tt14451288:-	tt14451294:-	tt14451298:-	tt14451302:-	tt4963590:-	
10	tt14451594:-	tt14451596:-	tt14451602:-	tt14451608:-	tt14451616:-	tt14451622:-	tt14451626:-	tt14451630:-	tt14451632:-	tt14451636:-	tt14451640:-	tt4963644:-	
11	tt14456800:-	tt14456806:-	tt14456810:-	tt14456814:-	tt14456816:-	tt14456820:-	tt14456822:-	tt14456828:-	tt14456830:-	tt14456832:-	tt14456834:-	tt14456840:-	tt14456848:-	tt4963662:-	
12	tt14457648:-	tt14457652:-	tt14457662:-	tt14457674:-	tt14457680:-	tt14457684:-	tt14457692:-	tt14457696:-	tt14457702:-	tt14457706:-	tt14457710:-	tt14457714:-	tt14457718:-	tt4963664:-	
13	tt14464696:-	tt14464710:-	tt14464716:-	tt14464722:-	tt14464730:-	tt14464732:-	tt14464740:-	tt14464748:-	tt14464754:-	tt14464758:-	tt14464762:-	tt14464774:-	tt14464782:-	tt4963694:-	
14	tt14464926:-	tt14464930:-	tt14464934:-	tt14464936:-	tt14464938:-	tt14464940:-	tt14464946:-	tt14464948:-	tt4963700:-	
15	tt14465068:-	tt14465070:-	tt14465072:-	tt14465076:-	tt14465078:-	tt14465080:-	tt14465084:-	tt14465086:-	tt14465206:-	tt14465210:-	tt14465212:-	tt14465216:-	tt14465220:-	tt14465224:-	tt14471032:-	tt14471036:-	tt14471042:-	tt14471044:-	tt14471048:-	tt14471050:-	tt14471942:-	tt14471946:-	tt14471948:-	tt14471954:-	tt14471958:-	tt14471962:-	tt14471966:-	tt14471970:-	tt14471976:-	tt14471978:-	tt4978742:-	
