4	tt1056322:-	tt14590824:-	tt14590852:-	tt14590956:-	
5	tt1056323:-	tt14591030:-	tt14591052:-	tt14591056:-	tt1803398:-	
7	tt1077171:-	tt14591234:-	tt14591236:-	
1	tt14590658:-	tt1692403:-	
2	tt14590710:-	tt14590762:-	
3	tt14590782:-	tt14590804:-	
6	tt14591104:-	tt14591126:-	
8	tt14591286:-	tt14591320:-	
9	tt14591326:-	tt14591428:-	
10	tt14591470:-	tt14591486:-	tt14591492:-	
11	tt14591514:-	tt14591540:-	
12	tt14591558:-	
\N	tt14591562:-	
13	tt14591644:-	tt14591660:-	
14	tt14591670:-	tt14591692:-	tt1692404:-	
