\N	tt0683718:-	tt0683719:-	tt0683720:-	tt0683721:-	tt0922240:-	tt1035096:-	tt1049755:-	tt11921324:-	tt11921330:-	tt1967284:-	
12	tt0801716:-	tt0801717:-	tt1015091:-	tt1082734:-	tt5200800:-	tt5227632:-	tt5227662:-	tt5227732:-	tt5227756:-	tt5227806:-	tt5227958:-	tt5227976:-	tt5261510:-	
25	tt10757094:-	tt11337916:-	tt11372938:-	tt12682274:-	tt7980362:-	
24	tt11474194:-	tt7617086:-	tt9370204:-	tt9370210:-	tt9722176:-	
13	tt1196306:-	tt1908233:-	tt5136870:-	tt5144612:-	tt5144766:-	tt5145908:-	tt5146164:-	tt5146924:-	tt5161836:-	tt5195762:-	tt5197412:-	tt5197488:-	
26	tt12145646:-	tt12145648:-	tt12145650:-	tt12145652:-	tt12216258:-	tt12648242:-	tt12747442:-	tt12816440:-	tt13143562:-	tt13310420:-	
14	tt1234134:-	tt1492130:-	tt5061072:-	tt5061086:-	tt5102598:-	tt5120364:-	tt5120534:-	tt5121572:-	tt5122248:-	tt5136108:-	tt5136254:-	tt5136328:-	
16	tt1747426:-	tt5032388:-	tt5032458:-	tt5034334:-	tt5037774:-	tt5045912:-	tt5045932:-	tt5045948:-	tt5050918:-	tt5050956:-	tt5052356:-	tt5052536:-	
17	tt1826417:-	tt1868912:-	tt1875969:-	tt1923783:-	tt1960777:-	tt1986621:-	tt2011743:-	tt2051658:-	tt2078306:-	tt2108239:-	tt2132959:-	tt4834162:-	
8	tt1852540:-	
18	tt2181457:-	tt2195270:-	tt2232917:-	tt2249930:-	tt2295981:-	tt2327620:-	tt2345051:-	tt2379638:-	tt2397251:-	tt2449082:-	tt2504846:-	tt2558422:-	
19	tt2623298:-	tt2691362:-	tt2756978:-	tt2819716:-	tt2907756:-	tt2979774:-	tt3044522:-	tt3108078:-	tt3168238:-	tt3251496:-	tt3318822:-	tt3384616:-	
20	tt3454730:-	tt3531440:-	tt3594574:-	tt3660248:-	tt3718654:-	tt3798416:-	tt3860388:-	tt3921554:-	tt4029672:-	tt4105450:-	tt4195696:-	tt4254004:-	
15	tt3539926:-	tt5053440:-	tt5053596:-	tt5055230:-	tt5058784:-	tt5059020:-	tt5059144:-	tt5059620:-	tt5059632:-	tt5060332:-	tt5060554:-	tt5060586:-	
21	tt4337648:-	tt4446800:-	tt4520070:-	tt4591930:-	tt4665832:-	tt4767062:-	tt4842728:-	tt4920888:-	tt5016912:-	tt5094622:-	tt5196930:-	tt6476790:-	
1	tt5020698:-	tt5020938:-	tt5022468:-	tt5024980:-	
22	tt5353696:-	tt5458702:-	tt5495524:-	tt5614554:-	tt5715346:-	tt5793666:-	tt5882776:-	tt5956602:-	tt6064178:-	tt6147356:-	tt8107406:-	tt8107416:-	
23	tt8107444:-	tt8111894:-	tt9530838:-	
