1	tt11780832:-	tt11780834:-	tt11780836:-	tt11780838:-	tt11780840:-	
2	tt12405020:-	tt12405022:-	tt12405024:-	tt12405026:-	tt12405028:-	tt12405032:-	tt12405034:-	tt12405036:-	
3	tt12770124:-	tt12770126:-	tt12770128:-	tt12770130:-	tt12770132:-	tt12770134:-	tt12770136:-	tt12770138:-	
4	tt13228052:-	tt13228054:-	tt13228056:-	tt13228060:-	tt13228062:-	tt13228064:-	tt13228068:-	tt13228070:-	
5	tt13642182:-	tt13642184:-	tt13642186:-	tt13642188:-	tt13642190:-	tt13642192:-	tt13642194:-	tt13642196:-	
6	tt14188934:-	tt14188936:-	tt14188938:-	tt14188940:-	tt14188942:-	tt14188944:-	tt14188946:-	tt14188948:-	
7	tt14196232:-	tt14196876:-	tt14203402:-	tt14203404:-	tt14203406:-	tt14203408:-	tt14203410:-	tt14203412:-	
9	tt14196234:-	tt14203950:-	tt14203952:-	tt14203954:-	tt14203958:-	tt14210230:-	tt14210232:-	tt14210238:-	tt14210240:-	
8	tt14196236:-	tt14203732:-	tt14203734:-	tt14203736:-	tt14203738:-	tt14203740:-	tt14203742:-	tt14203744:-	
10	tt14196238:-	tt14210584:-	tt14210586:-	tt14210588:-	tt14210590:-	tt14210592:-	tt14210594:-	tt14210596:-	tt14210598:-	
11	tt14196240:-	tt14210796:-	tt14210798:-	tt14210800:-	tt14210802:-	tt14210806:-	tt14210808:-	tt14210810:-	tt14210812:-	
12	tt14196242:-	tt14216712:-	tt14216714:-	tt14216716:-	tt14216718:-	tt14216720:-	tt14216722:-	tt14216724:-	tt14216726:-	
13	tt14196244:-	tt14216734:-	tt14216736:-	tt14216738:-	tt14216740:-	tt14216742:-	tt14216744:-	tt14216746:-	tt14216748:-	
19	tt14196270:-	tt14237710:-	tt14237714:-	tt14237716:-	tt14237718:-	tt14237720:-	tt14237722:-	
20	tt14196272:-	tt14246072:-	tt14246074:-	tt14246076:-	tt14246078:-	tt14246080:-	tt14246082:-	tt14246084:-	tt14246086:-	
17	tt14196274:-	tt14217000:-	tt14217002:-	tt14217006:-	tt14217008:-	tt14217010:-	tt14217012:-	tt14217014:-	
18	tt14196276:-	tt14230288:-	tt14230290:-	tt14230292:-	tt14230294:-	tt14230296:-	tt14230298:-	tt14230300:-	
15	tt14196280:-	tt14216802:-	tt14216804:-	tt14216806:-	tt14216808:-	tt14216810:-	tt14216812:-	tt14216814:-	tt14216816:-	
16	tt14196282:-	tt14216962:-	tt14216964:-	tt14216966:-	tt14216968:-	tt14216970:-	tt14216972:-	tt14216974:-	tt14216976:-	
14	tt14196286:-	tt14216762:-	tt14216764:-	tt14216766:-	tt14216768:-	tt14216770:-	tt14216774:-	tt14216776:-	tt14216778:-	
24	tt14196300:-	tt14274012:-	tt14274016:-	tt14274018:-	tt14274020:-	tt14274022:-	tt14274026:-	tt14274028:-	tt14274034:-	
26	tt14196302:-	
27	tt14196304:-	
22	tt14196306:-	tt14261010:-	tt14261012:-	tt14261014:-	tt14261016:-	tt14261018:-	tt14261020:-	tt14261022:-	tt14261286:-	
23	tt14196308:-	tt14266912:-	tt14266914:-	tt14266916:-	tt14266918:-	tt14266920:-	tt14266922:-	tt14266924:-	tt14266928:-	
21	tt14196312:-	tt14253604:-	tt14253606:-	tt14253608:-	tt14253618:-	tt14253620:-	tt14253624:-	tt14253626:-	tt14253634:-	
25	tt14196314:-	tt14282504:-	tt14282506:-	tt14282508:-	tt14282510:-	tt14282512:-	tt14282514:-	tt14282516:-	tt14282518:-	
