2	tt0352070:5.6	tt14676908:-	tt14676916:-	tt14676924:-	tt14676932:-	tt14676934:-	tt14676936:-	tt14676942:-	tt14676948:-	tt14676956:-	tt14676968:-	tt14676986:-	tt8826810:-	
3	tt0376405:6.2	tt14682610:-	tt14682612:-	tt14682616:-	tt14682626:-	tt14682630:-	tt14682636:-	tt14682640:-	tt14682648:-	tt14682654:-	tt14682660:-	tt14682662:-	tt14682666:-	tt8826818:-	
4	tt0423681:6.2	tt14687942:-	tt14687952:-	tt14687960:-	tt14687966:-	tt14687980:-	tt14687990:-	tt14688000:-	tt14688010:-	tt14688018:-	tt14688026:-	tt14688034:-	tt14688038:-	tt8826826:-	
5	tt0465688:6.1	tt14688222:-	tt14688224:-	tt14688228:-	tt14688234:-	tt14688238:-	tt14688244:-	tt14688250:-	tt14688260:-	tt14688268:-	tt14688332:-	tt14688342:-	tt14688352:-	tt8826830:-	
1	tt14676416:-	tt14676422:-	tt14676428:-	tt14676434:-	tt14676438:-	tt14676444:-	tt14676448:-	tt14676456:-	tt14676464:-	tt14676470:-	tt14676472:-	tt14676474:-	tt2796386:-	tt8826794:-	
6	tt14688792:-	tt14688810:-	tt14688830:-	tt14688838:-	tt14688848:-	tt14688864:-	tt14688880:-	tt14688892:-	tt14688904:-	tt14688916:-	tt14688938:-	tt14688944:-	tt8793930:-	tt8826834:-	
7	tt14689086:-	tt14689098:-	tt14689108:-	tt14689112:-	tt14689116:-	tt14689138:-	tt14689158:-	tt14689174:-	tt14689196:-	tt14689222:-	tt14689246:-	tt14689268:-	tt8793932:-	tt8826836:-	
8	tt14696070:-	tt14696074:-	tt14696082:-	tt14696084:-	tt14696090:-	tt14696096:-	tt14696100:-	tt14696104:-	tt14696108:-	tt14696112:-	tt14696116:-	tt14696120:-	tt8793936:-	tt8826846:-	
9	tt14701586:-	tt14701594:-	tt14701596:-	tt14701604:-	tt14701608:-	tt14701610:-	tt14701618:-	tt14701622:-	tt14701634:-	tt14701642:-	tt14701644:-	tt14701646:-	tt8793938:-	tt8826858:-	
10	tt14701668:-	tt14701674:-	tt14701678:-	tt14701686:-	tt14701688:-	tt14701696:-	tt14701698:-	tt14701708:-	tt14701712:-	tt14701758:-	tt14701766:-	tt14701772:-	tt8793940:-	tt8826866:-	
11	tt14706868:-	tt14706882:-	tt14706886:-	tt14706900:-	tt14706910:-	tt14706916:-	tt14707086:-	tt14707092:-	tt14707098:-	tt14707102:-	tt14707104:-	tt14707108:-	tt8793944:-	tt8826880:-	
12	tt14707280:-	tt14707286:-	tt14707296:-	tt14707298:-	tt14707300:-	tt14707304:-	tt14707312:-	tt14707316:-	tt14707326:-	tt14707328:-	tt14707334:-	tt14707340:-	tt7277240:-	tt8826890:-	
14	tt14708590:-	tt14708594:-	tt14708596:-	tt14708604:-	tt14708608:-	tt14708612:-	tt14708618:-	tt14708622:-	tt14708626:-	tt14708630:-	tt14708640:-	tt14708652:-	tt8793962:-	tt8826892:-	
20	tt14714766:-	tt14727578:-	tt14727582:-	tt14727594:-	tt14727598:-	tt14727602:-	tt14727606:-	tt14727624:-	tt14727640:-	tt14727644:-	tt14727650:-	tt14727656:-	tt14727664:-	tt14727670:-	
21	tt14715802:-	tt14727678:-	tt14727684:-	tt14727690:-	tt14727698:-	tt14727702:-	tt14727708:-	tt14727718:-	tt14727724:-	tt14727726:-	tt14727732:-	tt14727736:-	tt14727740:-	tt14727744:-	tt14727750:-	
17	tt14721418:-	tt14721424:-	tt14721430:-	tt14721434:-	tt14721442:-	tt14721446:-	tt14721450:-	tt14721458:-	tt14721466:-	tt6667324:-	tt6671086:-	tt6732242:-	tt6732244:-	tt8826908:-	
18	tt14721516:-	tt14721520:-	tt14721526:-	tt14721528:-	tt14721534:-	tt14721542:-	tt14727082:-	tt14727088:-	tt14727092:-	tt14727096:-	tt14727098:-	tt14727104:-	tt8793982:-	tt8826914:-	
22	tt14728118:-	tt14732968:-	tt14732980:-	tt14732986:-	tt14732996:-	tt14733012:-	tt14733526:-	tt14733532:-	tt14733536:-	tt14733538:-	tt14733544:-	tt14733552:-	
16	tt6667402:-	tt6667404:-	tt6667406:-	tt6667408:-	tt6667410:-	tt6667412:-	tt6667416:-	tt6667418:-	tt6667420:-	tt6667422:-	tt6667424:-	tt6667426:-	tt6667428:-	tt6667430:-	
15	tt6671048:-	tt6671054:-	tt6671058:-	tt6671060:-	tt6671062:-	tt6671064:-	tt6671070:-	tt6671072:-	tt6671074:-	tt6671076:-	tt6671078:-	tt6671080:-	tt6671084:-	tt8794000:-	
