3	tt0707359:-	tt2517692:-	tt2517722:-	tt2517738:-	tt2517744:-	tt2517754:-	tt2517760:-	tt2517778:-	tt2517780:-	
5	tt0707360:-	tt0707361:-	tt0707362:-	tt0707363:-	tt2517868:-	tt2518046:-	tt2518056:-	tt2519664:-	
6	tt0707364:-	tt0707365:-	tt2519700:-	tt2519710:-	tt2519730:-	tt2519734:-	tt2519738:-	tt2519742:-	
7	tt0707366:-	tt0707367:-	tt0707368:-	tt0707369:-	tt0707370:-	tt0707371:-	tt2519818:-	tt2519822:-	
8	tt0707372:-	tt0707373:-	tt0707374:-	tt2519830:-	tt2519840:-	tt2519846:-	tt2519882:-	tt2519884:-	
9	tt0707375:-	tt0707376:-	tt0707377:-	tt2440992:-	tt2519892:-	tt2519900:-	tt2519902:-	tt2519906:-	
23	tt11328644:-	tt11328648:-	tt11328650:-	tt11328654:-	tt11328656:-	tt11328658:-	tt11328660:-	
12	tt2180648:-	tt2186128:-	tt2186140:-	tt2186142:-	tt2186144:-	
14	tt2180660:-	tt2180664:-	tt2180674:-	tt2180682:-	tt2180694:-	tt2186160:-	tt2186162:-	tt2204612:-	
15	tt2188786:-	tt2188794:-	tt2188796:-	tt2188798:-	tt2188804:-	tt2188816:-	tt2188818:-	tt2204838:-	
13	tt2202406:-	tt2202414:-	tt2202420:-	tt2202436:-	tt2202478:-	
16	tt2207078:-	tt2207084:-	tt2207114:-	tt2207126:-	tt2207136:-	tt2207156:-	tt2207168:-	
17	tt2390512:-	tt2403816:-	tt2417242:-	tt2432932:-	
1	tt2484980:-	tt2484982:-	tt2484990:-	tt2484992:-	tt2484994:-	tt2484996:-	tt2484998:-	tt2485000:-	tt2485002:-	tt2485004:-	
2	tt2517670:-	tt2517672:-	tt2517674:-	tt2517676:-	tt2517678:-	tt2517680:-	tt2517682:-	tt2517684:-	
4	tt2517782:-	tt2517800:-	tt2517812:-	tt2517816:-	tt2517828:-	tt2517842:-	tt2517846:-	tt2517848:-	
10	tt2520050:-	tt2520052:-	tt2520064:-	tt2520066:-	tt2520070:-	tt2520086:-	tt2520088:-	tt2520090:-	
11	tt2520160:-	tt2520172:-	tt2520174:-	tt2520178:-	tt2520180:-	tt2520184:-	tt2520186:-	tt2520188:-	
\N	tt2637992:-	tt2699372:-	tt2780038:-	tt2780046:-	tt2780050:-	tt2780054:-	tt2780064:-	tt3312400:-	tt3329072:-	tt3342138:-	
