1	tt0657979:7.5	tt0657984:8.6	tt0657989:8.1	tt0657992:7.8	tt0657993:7.6	tt0657998:7.7	tt0658001:7.6	tt0658004:7.7	tt0658007:8.0	tt0658009:7.6	tt0658010:8.0	tt0658012:7.8	tt0658013:8.2	tt0658017:8.3	tt0658019:7.6	tt0658022:7.8	tt0658023:8.1	tt0658027:7.9	tt0658028:7.7	tt0658030:7.4	tt0658032:7.5	tt0658035:7.8	tt0658039:8.2	
2	tt0657980:7.7	tt0657981:7.6	tt0657982:7.7	tt0657985:9.0	tt0657986:7.6	tt0657987:8.1	tt0657988:7.8	tt0657991:8.1	tt0657994:7.7	tt0657997:7.5	tt0657999:7.8	tt0658006:7.9	tt0658014:7.5	tt0658016:7.7	tt0658018:9.0	tt0658020:8.4	tt0658025:7.7	tt0658026:8.1	tt0658029:7.8	tt0658031:8.3	tt0658034:8.9	tt0658037:7.4	tt0658038:8.0	
3	tt0657983:8.0	tt0657990:7.6	tt0657995:8.5	tt0657996:7.6	tt0658000:8.2	tt0658002:8.7	tt0658003:8.7	tt0658005:7.7	tt0658008:8.1	tt0658011:7.5	tt0658015:8.1	tt0658021:7.8	tt0658024:7.5	tt0658033:7.6	tt0658036:8.6	tt0763503:7.6	tt0772567:7.8	tt0774389:8.3	tt0780387:8.2	tt0782433:7.7	tt0784098:7.7	tt0786190:8.5	tt0793199:8.6	tt0793200:8.0	
4	tt0833786:8.2	tt0840148:8.0	tt0850073:7.7	tt0855549:7.5	tt0859400:7.7	tt0869776:7.7	tt0886959:8.0	tt0888281:7.9	tt0888283:8.0	tt0888284:8.2	tt0902102:7.8	tt0903471:7.8	tt0941941:7.9	tt0941942:7.7	tt0943701:7.7	tt0962997:8.6	tt0967801:7.3	tt0970069:7.7	tt0971870:7.7	tt0980632:8.4	tt0983596:8.0	tt1009719:7.6	tt1009720:7.9	tt1014729:8.2	
16	tt10004144:8.4	tt10004148:8.5	tt10004154:8.2	tt10004158:8.3	tt8290228:8.2	tt8761248:8.0	tt8788398:7.9	tt9004562:8.6	tt9060408:8.2	tt9078460:8.1	tt9089794:8.1	tt9089796:7.8	tt9089798:8.1	tt9089800:7.9	tt9089802:8.1	tt9089804:8.2	tt9089806:8.5	tt9089808:9.2	tt9089810:7.8	tt9089812:7.9	tt9089814:8.2	tt9089816:8.4	tt9089818:8.0	tt9089820:8.5	
17	tt10177776:8.5	tt10939118:8.4	tt10946822:7.7	tt11002152:8.1	tt11067838:8.0	tt11139192:7.5	tt11178222:8.0	tt11199322:8.0	tt11269412:8.6	tt11396444:8.7	tt11486628:8.8	tt11542574:8.2	tt11581362:8.0	tt11622332:8.6	tt11650896:8.0	tt11685704:8.5	tt11786836:8.0	tt11854084:7.8	tt11918128:7.7	tt11986722:9.2	
5	tt1087296:8.2	tt1093686:7.9	tt1102112:8.4	tt1102113:7.9	tt1106237:7.6	tt1111678:7.9	tt1118276:8.9	tt1122379:7.6	tt1137665:8.2	tt1140918:8.0	tt1151139:7.4	tt1197881:7.6	tt1206230:8.2	tt1206231:7.6	tt1206232:7.8	tt1206233:7.8	tt1206234:8.6	tt1206235:7.7	tt7258120:8.9	
18	tt12272074:7.2	tt13363830:8.8	tt13404978:8.8	tt13412808:8.0	tt13412840:8.1	tt13432094:7.9	tt13893032:8.2	tt13986908:7.5	tt14071138:8.1	tt14126012:7.6	tt14224262:6.8	tt14286674:-	tt14361980:8.0	tt14361988:7.8	tt14495118:8.3	tt14495120:-	
6	tt1256285:7.5	tt1256286:7.9	tt1256287:8.0	tt1256288:7.8	tt1256289:7.6	tt1256290:7.6	tt1256291:8.0	tt1256292:7.8	tt1256293:7.1	tt1256294:7.5	tt1256295:7.9	tt1256296:7.8	tt1256297:8.1	tt1256298:8.1	tt1256299:7.6	tt1256300:8.9	tt1256301:7.6	tt1256302:8.2	tt1256303:7.9	tt1256304:8.2	tt1256607:8.2	tt1324602:8.5	tt1410789:7.8	tt1418315:8.4	tt1422351:8.6	
19	tt14627528:-	
7	tt1498669:8.1	tt1498670:7.7	tt1498671:9.2	tt1502141:7.6	tt1503448:8.2	tt1534960:8.1	tt1534961:8.1	tt1540613:8.3	tt1541356:8.0	tt1556375:7.8	tt1567044:7.7	tt1570516:8.0	tt1583639:8.2	tt1587569:7.6	tt1591958:7.7	tt1601631:7.6	tt1612401:7.7	tt1612402:8.0	tt1622288:7.9	tt1641070:7.6	tt1641071:7.8	tt1644833:8.2	tt1648639:8.3	tt1653497:8.5	
8	tt1683249:8.4	tt1683250:7.7	tt1683251:8.0	tt1683252:7.8	tt1683253:7.6	tt1683254:8.3	tt1683255:7.7	tt1683256:7.7	tt1683257:7.6	tt1683258:7.9	tt1683259:7.5	tt1683260:8.0	tt1683261:8.2	tt1683262:8.0	tt1683263:8.5	tt1683264:8.5	tt1683265:8.4	tt1683266:7.8	tt1683267:7.8	tt1683268:7.5	tt1683269:7.5	tt1683270:8.0	tt1683271:8.2	tt1683272:8.4	
9	tt1988390:8.3	tt1998789:7.7	tt2047152:7.8	tt2047153:7.7	tt2047154:7.5	tt2047155:7.5	tt2090225:8.1	tt2095326:8.1	tt2103693:8.1	tt2107228:7.7	tt2111806:8.1	tt2111808:8.0	tt2129485:7.8	tt2129486:8.2	tt2129487:7.9	tt2129488:7.7	tt2129489:7.5	tt2247713:7.6	tt2247715:7.4	tt2247719:7.7	tt2257689:8.1	tt2257691:8.2	tt2257693:8.8	tt2280089:8.2	
