13	tt10828060:-	tt10828068:-	tt13381042:-	tt13381044:-	
14	tt10828222:-	tt10828232:-	tt10828236:-	tt13381056:-	tt13381060:-	
15	tt10828292:-	tt10828296:-	tt10828300:-	tt10828306:-	tt10828308:-	tt13381064:-	
16	tt10828392:-	tt10828410:-	tt10828424:-	tt13381068:-	tt13381072:-	
17	tt10828498:-	tt10828530:-	tt13382052:-	tt13382058:-	
8	tt13380298:-	tt13380960:-	tt13380964:-	tt13380970:-	
3	tt13380884:-	tt13380892:-	tt13380898:-	
4	tt13380906:-	tt13380918:-	tt1628603:-	
5	tt13380924:-	tt13380930:-	
6	tt13380938:-	tt13380950:-	
7	tt13380956:-	tt13380958:-	
9	tt13380972:-	tt13381006:-	tt9588520:-	
1	tt13380980:-	tt13380986:-	
2	tt13380988:-	tt13380992:-	
10	tt13381018:-	tt13381026:-	
11	tt13381030:-	tt13381032:-	
12	tt13381034:-	tt13381040:-	
18	tt13382060:-	tt13382068:-	
19	tt13382070:-	tt13382076:-	
20	tt13382080:-	
21	tt13385826:-	tt13385836:-	
22	tt13385842:-	tt13385862:-	
23	tt13385874:-	tt13385888:-	
24	tt13385894:-	tt13385904:-	
25	tt13391740:-	tt13391844:-	
26	tt13391746:-	tt13391872:-	tt14966874:-	
27	tt13391750:-	tt13391892:-	
28	tt13391752:-	tt13391910:-	
29	tt13391766:-	tt13391786:-	
\N	tt14920440:-	tt14920452:-	
