1	tt0592902:8.5	tt0592909:8.3	tt0592915:8.2	tt0592918:8.2	tt0592919:8.2	tt0592923:8.3	tt0592924:8.3	tt0592925:8.7	tt0592926:8.2	
2	tt0592903:8.4	tt0592904:8.5	tt0592905:8.6	tt0592906:8.5	tt0592907:8.3	tt0592908:8.3	tt0592910:9.1	tt0592911:9.5	tt0592912:8.1	tt0592913:8.8	tt0592914:8.2	tt0592916:8.3	tt0592917:8.5	tt0592920:8.3	tt0592921:8.1	tt0592922:8.5	tt0759138:9.5	tt0759839:8.3	tt0760706:8.5	tt0763962:8.2	tt0763963:8.3	tt0772483:8.3	tt0776002:8.1	tt0782343:8.5	tt0789452:9.1	tt0789453:9.1	tt0805280:9.3	
3	tt0852787:8.2	tt0854774:8.7	tt0865668:8.3	tt0874558:8.2	tt0877109:8.1	tt0877110:8.4	tt0877112:8.1	tt0900569:8.0	tt0903412:8.3	tt0906402:8.8	tt0917048:8.6	tt0931862:8.9	tt0935486:8.4	tt0940133:8.9	tt0948266:8.6	tt0962364:9.0	tt0962365:8.6	tt0964281:8.2	tt0971628:8.3	tt0998426:8.0	tt1001867:8.1	tt1011450:7.0	tt1011451:7.3	tt1017765:8.5	tt1020626:8.8	
4	tt1002868:8.1	tt1002869:8.5	tt1002870:8.0	tt1002871:8.1	tt1002872:8.3	tt1002873:8.0	tt1002874:8.1	tt1002875:8.5	tt1002879:7.9	tt1002883:8.2	tt1002884:8.1	tt1002885:8.0	tt1002886:8.0	tt1002887:7.9	tt1002888:8.1	tt1002889:8.5	tt2373009:8.8	
15	tt10120548:7.9	tt7885522:7.8	tt8746268:8.0	tt8879534:7.4	tt8879540:8.0	tt9011270:8.2	tt9022004:7.7	tt9022006:8.6	tt9119498:8.5	tt9119510:8.3	tt9132644:8.3	tt9173162:7.8	tt9212382:8.4	tt9290230:7.6	tt9564120:8.1	tt9611706:8.0	tt9611710:7.0	tt9611736:9.6	tt9618582:8.3	tt9729132:7.1	tt9729134:7.2	tt9729136:7.5	tt9729138:8.4	tt9729142:8.4	tt9729144:7.9	
17	tt10313492:8.1	tt13334916:8.6	tt13412344:8.1	tt13454262:8.2	tt13498234:7.7	tt13498236:7.1	tt13498240:7.5	tt14177970:8.4	tt14211898:5.3	tt14222328:8.4	tt14225068:8.0	tt14330910:-	tt14406444:-	
16	tt10950532:7.5	tt10989874:7.6	tt11010784:7.7	tt11058566:7.8	tt11102922:7.8	tt11105164:9.1	tt11156602:7.9	tt11187872:8.1	tt11300852:5.9	tt11317130:7.6	tt11404618:7.5	tt11681392:7.4	tt11702018:7.5	tt11737856:7.6	tt11815092:4.2	tt11852888:7.1	tt11861152:7.7	tt11923260:6.8	tt11980382:8.0	tt12019988:8.3	tt7885526:7.4	
5	tt1263280:8.3	tt1263281:8.5	tt1263282:8.9	tt1263283:9.2	tt1263284:8.6	tt1263285:8.3	tt1263287:8.8	tt1263288:9.0	tt1263290:9.1	tt1263292:8.4	tt1263293:9.3	tt1263295:8.3	tt1263296:8.6	tt1263297:8.6	tt1263298:8.4	tt1263299:8.6	tt1263300:8.2	tt1263301:8.5	tt1338329:8.3	tt1379395:8.8	tt1404226:8.8	tt1435078:9.0	tt1435079:9.6	tt2373007:8.3	
6	tt1457924:8.5	tt1497727:8.0	tt1497728:8.5	tt1497729:7.9	tt1497730:8.1	tt1497731:8.1	tt1497732:9.0	tt1497733:8.7	tt1497734:8.5	tt1497735:8.2	tt1557983:8.1	tt1578973:7.9	tt1586069:8.1	tt1595404:8.1	tt1595703:9.0	tt1605238:8.1	tt1610766:7.8	tt1611350:7.9	tt1623864:7.9	tt1631566:7.7	tt1631567:8.2	tt1631568:8.4	tt1643647:9.7	tt1643648:9.7	
7	tt1688807:7.9	tt1704843:7.9	tt1724309:7.9	tt1733366:7.6	tt1733841:7.7	tt1739480:7.1	tt1743845:7.8	tt1743846:7.8	tt1743847:8.0	tt1782085:8.2	tt1782086:8.4	tt1802924:7.8	tt1816195:7.8	tt1816196:7.7	tt1818770:8.7	tt1818771:7.7	tt1831103:8.1	tt1831104:6.2	tt1831105:7.9	tt1831106:7.9	tt1831107:7.8	tt1831108:8.0	
8	tt1926568:8.2	tt2016477:8.5	tt2016478:8.2	tt2056971:8.1	tt2069323:8.0	tt2070144:8.2	tt2071049:8.3	tt2084356:8.7	tt2095253:9.3	tt2104399:9.2	tt2110742:8.3	tt2171023:8.5	tt2187687:8.1	tt2187689:8.1	tt2187691:8.1	tt2208571:8.3	tt2232323:8.0	tt2232325:8.0	tt2245673:8.5	tt2245675:8.5	tt2245677:8.5	tt2245679:8.5	tt2245681:8.6	tt2245683:8.7	
9	tt2380524:8.9	tt2397001:8.7	tt2407126:8.1	tt2424794:8.3	tt2436060:8.6	tt2468414:8.3	tt2468416:8.4	tt2513560:8.1	tt2513562:8.5	tt2523518:8.5	tt2532024:7.9	tt2564404:8.1	tt2567774:7.8	tt2622548:8.2	tt2630060:8.2	tt2634948:8.5	tt2723210:8.2	tt2727620:7.8	tt2727626:7.4	tt2767588:7.8	tt2787000:7.7	tt2812610:7.4	tt2862736:8.9	tt2862738:8.4	
10	tt2911802:7.3	tt3093166:7.2	tt3163418:7.2	tt3170648:7.0	tt3172724:7.2	tt3172730:7.1	tt3231704:6.8	tt3240812:6.2	tt3273224:7.2	tt3297842:7.4	tt3331478:7.5	tt3331928:8.2	tt3469260:7.6	tt3544216:7.1	tt3551628:7.8	tt3561164:8.0	tt3565142:7.8	tt3576876:6.4	tt3576878:7.2	tt3580770:7.7	tt3594958:8.1	tt3639496:8.7	tt3668420:8.1	tt3675214:9.3	
11	tt3721002:7.3	tt4006504:7.4	tt4024124:7.3	tt4070008:8.1	tt4070010:7.5	tt4147376:7.4	tt4147378:7.9	tt4203848:8.0	tt4224918:7.8	tt4289564:8.5	tt4303550:7.8	tt4303552:7.7	tt4327490:8.5	tt4432504:7.9	tt4465020:7.6	tt4472386:9.0	tt4491624:7.9	tt4491626:7.9	tt4516146:6.9	tt4521154:7.8	tt4599534:4.9	tt4599536:7.1	tt4620044:8.2	tt4638176:8.2	tt7043038:7.7	
12	tt4668450:8.4	tt5058602:7.9	tt5060714:7.9	tt5085600:8.3	tt5093170:8.7	tt5109306:8.6	tt5134958:9.0	tt5134980:7.8	tt5134994:9.3	tt5174364:8.3	tt5467378:7.7	tt5470704:7.0	tt5479956:8.3	tt5505500:7.4	tt5505514:8.2	tt5505518:8.0	tt5505676:8.6	tt5520906:8.2	tt5520910:7.7	tt5614176:8.0	tt5614186:8.3	tt5614198:8.5	tt5614204:8.4	tt5614206:8.7	
13	tt5521890:7.7	tt5743946:7.6	tt5743998:8.0	tt5749130:7.5	tt6088596:7.7	tt6088602:8.2	tt6095206:7.3	tt6095210:7.3	tt6155690:8.5	tt6155694:6.9	tt6185764:6.3	tt6190622:6.8	tt6190628:6.7	tt6190636:8.0	tt6190642:6.9	tt6190644:6.3	tt6190648:8.1	tt6190652:8.5	tt6215176:7.8	tt6215178:6.9	tt6215180:7.4	tt6215182:7.5	tt6215184:8.7	tt6215188:8.5	
14	tt6523880:8.3	tt7043198:8.2	tt7043206:8.3	tt7043690:8.3	tt7043698:8.1	tt7043702:7.5	tt7043724:9.1	tt7043730:8.5	tt7043736:8.7	tt7044202:8.8	tt7044206:8.1	tt7044218:7.4	tt7044226:7.3	tt7044230:7.6	tt7044240:7.7	tt7044262:7.2	tt7044272:8.3	tt7044314:7.7	tt7044320:7.5	tt7044324:8.2	tt7044328:7.8	tt7044330:7.7	tt7044338:8.9	tt7600182:8.4	
