1	tt0715625:-	tt0715626:-	tt0762532:6.8	tt0782603:4.8	tt0784564:5.2	tt1055209:5.6	tt1055210:-	tt1055211:-	tt1055212:-	tt1055213:-	tt1055214:-	tt1055215:-	tt1055216:-	tt1055901:-	tt1058451:-	tt1058452:-	tt4325556:-	tt4325562:-	tt4325572:-	tt4325586:-	tt4325588:-	tt4325592:-	tt4325600:-	tt4325606:-	tt4325610:-	tt4325620:-	tt4325630:-	tt4325640:-	tt4325646:-	tt4325652:-	tt4325656:-	
2	tt0715627:-	tt3954828:-	tt3954864:-	tt4326870:-	tt4421758:-	tt4520300:-	tt5750922:-	tt5750942:-	tt5825742:-	tt5844090:-	tt5844094:-	tt5844098:-	tt5844104:-	tt5844126:-	tt5844128:-	tt5844132:-	tt5844134:-	tt5938980:-	tt5938982:-	tt5979620:-	tt5979624:-	tt8800528:-	tt8800542:9.2	tt8815794:-	tt8817032:-	tt8817062:-	tt8819562:-	tt8830828:-	tt8846746:-	tt8846752:-	tt8848246:-	tt8848284:-	tt8849070:-	tt9037896:-	tt9037918:-	tt9037926:-	tt9037928:-	tt9037960:-	tt9037968:-	tt9037992:-	tt9038002:-	tt9038030:-	tt9038074:-	tt9038254:-	tt9038260:-	tt9038294:-	tt9038296:-	
3	tt0813903:-	tt0822257:-	tt0822258:-	tt0827449:5.8	tt0830062:-	tt0831798:6.0	tt0836511:-	tt0846638:5.7	tt0849312:-	tt0864262:6.2	tt0879180:5.3	tt2798322:-	tt2798330:-	tt2798388:-	tt2798398:7.3	tt2847202:-	tt2892356:-	tt2892412:-	tt2909544:-	tt2919230:-	tt3008844:-	tt3008872:-	tt3008876:-	tt3008878:-	tt3008888:-	tt3008896:-	tt3008904:-	tt3008926:-	tt3008928:-	tt3008938:-	tt5824034:-	tt5824046:-	tt5824054:-	tt8676462:-	tt8803682:-	tt8808078:-	tt8817088:-	tt8818904:-	tt8818928:-	tt8818936:-	tt8819732:-	tt8820728:-	tt8820986:-	tt8824708:-	tt8824722:-	tt8830312:-	tt8830320:-	tt8830780:-	tt8833386:-	tt8833424:-	tt8834588:-	tt8835886:-	tt8903688:-	
16	tt10110806:6.2	tt10110812:5.8	tt10110814:5.8	tt10110820:6.1	tt10110824:6.2	tt10199040:6.6	tt10218106:6.6	tt10250506:6.5	tt10389134:5.7	tt10389136:5.4	tt10389138:6.1	tt10389140:6.2	tt10492250:5.7	tt10492258:5.6	tt10492284:6.1	tt10596940:6.2	tt10596952:6.0	tt10596958:6.1	tt10631030:6.4	tt10669812:6.1	tt10706814:6.1	tt10820026:6.2	tt10820064:6.1	tt10872848:6.0	tt10933088:6.2	tt10933094:6.3	tt10933100:6.1	tt10957134:5.7	tt9369444:6.1	tt9429892:6.4	tt9429896:5.8	tt9486538:5.6	tt9551430:5.6	tt9662816:6.1	tt9662820:6.1	tt9662822:6.1	tt9690406:5.8	tt9794286:6.1	tt9794292:6.1	tt9794296:5.9	tt9870430:6.4	tt9870432:5.8	
4	tt1088773:-	tt1156430:5.7	tt1779254:-	tt2532924:-	tt5823782:-	tt5823812:-	tt5823830:-	tt5823846:-	tt5823850:-	tt5823862:8.3	tt5823916:-	tt5823924:8.5	tt5823932:-	tt8817474:-	tt8837090:-	tt8840586:-	tt8841364:-	tt8845808:-	tt8846716:-	tt8846720:-	tt8852590:-	tt8852640:-	tt8853150:-	tt8856888:-	tt8856890:-	tt8857046:-	tt8858448:-	tt8860978:-	tt8863318:-	tt8903542:-	tt8903544:-	tt8906418:-	tt8972306:-	tt8972310:-	tt8977020:-	tt8977024:-	tt8980344:-	tt8987150:-	tt8987154:-	tt8987170:-	tt8987194:-	tt8987210:-	tt8987332:-	tt8988016:-	tt8988036:-	tt8988060:-	tt8992488:-	tt8992490:-	tt8992632:-	tt8992642:-	tt8992650:-	tt8992672:-	
17	tt11199854:5.6	tt11200610:6.2	tt11200642:6.0	tt11200660:6.0	tt11200674:6.4	tt11200712:6.0	tt11202040:6.2	tt11348516:6.1	tt11348606:4.5	tt11348608:5.4	tt11408656:6.8	tt11557620:6.4	tt11557644:6.2	tt11557672:6.1	tt11557684:6.5	tt11609660:6.4	tt11609662:6.5	tt11714234:6.4	tt11714236:6.1	tt11909018:6.5	tt11921868:6.0	tt11921878:6.4	tt11921888:5.3	tt11921894:5.4	tt12017392:6.0	tt12020558:6.3	tt12072578:5.6	tt12138972:5.8	tt12312366:6.0	tt12312376:6.0	tt12312386:6.2	tt12312424:5.9	tt12312446:6.0	tt12531122:5.8	tt12531124:5.9	tt12531390:6.1	tt12531410:6.6	tt12642762:6.5	tt12642768:6.3	tt12642770:6.3	tt12642772:5.6	tt12826384:5.9	tt12826386:5.5	tt12826396:6.1	tt12826404:5.8	tt12826432:6.5	tt12844196:5.9	tt12906782:6.0	tt12973776:6.4	tt12998658:5.2	tt13056080:5.3	tt13268362:6.0	
5	tt1203413:8.2	tt1210281:8.0	tt1228911:-	tt1360656:-	tt1690839:-	tt5823896:-	tt8999718:-	tt8999722:-	tt8999738:-	tt9032300:-	tt9032304:-	tt9134206:-	tt9134214:-	tt9134276:-	tt9134342:-	tt9134448:-	tt9137548:-	tt9137590:-	tt9137630:-	tt9137662:-	tt9137774:-	tt9139462:-	tt9139466:-	tt9139480:-	tt9139920:-	tt9139924:-	tt9139934:-	tt9139946:-	tt9145010:-	tt9145022:-	tt9145028:-	tt9145032:-	tt9145034:-	tt9145038:-	tt9145042:-	tt9145044:-	tt9145046:-	tt9146194:-	tt9146196:-	tt9146212:-	tt9146224:-	tt9146230:-	tt9148630:-	tt9148646:-	tt9148656:-	tt9148664:-	tt9148670:-	tt9154826:7.5	tt9154832:-	tt9154834:-	tt9154872:-	tt9154874:-	
18	tt13281400:5.5	tt13281406:5.6	tt13281434:5.7	tt13281444:5.5	tt13281450:5.6	tt13491012:5.6	tt13491018:5.4	tt13491028:6.3	tt13491034:5.6	tt13491040:5.3	tt13491046:4.9	tt13491056:6.0	tt13845640:6.3	tt13846120:6.2	tt13846136:-	tt13846142:-	tt13846156:-	tt13846164:-	tt13864250:-	
6	tt1360657:-	tt1717067:-	tt2221046:-	tt2221094:-	tt2221098:-	tt2222748:-	tt2222762:-	tt2222798:-	tt2789360:-	tt2789408:-	tt2796218:-	tt2796246:-	tt2796286:-	tt2798256:-	tt2798414:-	tt2798422:-	tt2847180:-	tt2885792:-	tt2885814:-	tt2932262:-	tt2949930:-	tt2966128:-	tt2979384:-	tt2988820:-	tt3008826:-	tt3008838:-	tt3008840:-	tt3008846:-	tt3008856:-	tt3008858:-	tt3008860:-	tt3008866:-	tt3008868:-	tt3008880:-	tt3008882:-	tt3008886:-	tt3008890:-	tt3008892:-	tt3008894:-	tt3008898:-	tt3008900:-	tt3008916:-	tt3008918:-	tt5785612:-	tt5785616:-	tt5785618:-	tt5785624:-	tt5785628:-	tt5785632:-	tt5785636:-	tt5785640:-	tt5785642:-	
7	tt1589879:-	tt1715622:-	tt1715623:-	tt1717068:-	tt1743002:-	tt1747560:-	tt1751970:-	tt1751971:-	tt1761890:-	tt1768359:-	tt1820227:-	tt1820229:-	tt1820230:-	tt1820231:-	tt1820232:-	tt1820233:-	tt1820234:-	tt1820235:-	tt1820236:-	tt1820237:-	tt1820238:-	tt1820239:-	tt1820240:-	tt1820241:-	tt1820242:-	tt1820243:-	tt1820244:-	tt1820245:-	tt1820246:-	tt1820247:-	tt1820248:-	tt2789404:-	tt2796290:-	tt2798378:-	tt2835924:-	tt2871216:-	tt2885832:-	tt2909636:-	tt2949908:-	tt2979426:-	tt2981968:-	tt2988394:-	tt3008848:-	tt3008850:-	tt3008864:-	tt3008902:-	tt3008906:-	tt3008908:-	tt3008912:-	tt3008924:-	tt3008936:-	
8	tt1854092:-	tt1869006:-	tt1872579:-	tt1876019:-	tt1882966:-	tt1889204:-	tt1897662:-	tt1909137:-	tt1915313:6.0	tt1926120:-	tt1933245:-	tt1941132:-	tt1947631:-	tt1953319:-	tt1960892:6.0	tt1969834:-	tt1976898:-	tt1981947:-	tt1987995:-	tt1994331:-	tt2007263:-	tt2007842:-	tt2013068:-	tt2019667:-	tt2030024:-	tt2037844:-	tt2045875:-	tt2054570:-	tt2060222:5.8	tt2068674:6.0	tt2075955:6.0	tt2080147:-	tt2086634:-	tt2096209:-	tt2097711:-	tt2103882:-	tt2110231:-	tt2116583:5.4	tt2121608:-	tt2127105:-	tt2136236:-	tt2143755:-	tt2796206:-	tt2892364:-	tt2914516:-	tt3008842:-	tt3008852:7.0	tt3008854:6.2	tt3008862:-	tt3008870:-	tt3008910:-	tt3008934:-	
9	tt2153607:6.0	tt2162309:-	tt2171358:-	tt2173737:6.6	tt2185091:-	tt2185548:-	tt2195419:6.6	tt2198332:-	tt2206961:6.3	tt2213236:-	tt2220791:5.8	tt2227314:-	tt2238071:-	tt2240618:-	tt2253557:-	tt2253920:6.8	tt2267765:-	tt2268920:-	tt2285021:-	tt2287786:-	tt2299097:-	tt2305008:-	tt2312587:-	tt2318836:-	tt2330201:-	tt2331238:-	tt2335939:-	tt2342920:-	tt2349297:5.8	tt2358390:-	tt2360765:5.4	tt2370918:6.0	tt2372009:6.2	tt2382761:-	tt2383136:-	tt2391685:-	tt2395712:6.6	tt2399327:-	tt2403295:-	tt2409214:-	tt2423648:-	tt2438486:-	tt2454660:-	tt2467864:-	tt2482394:-	tt2495062:-	tt2507790:-	tt2520022:-	tt2532436:-	tt2548584:-	tt2562472:-	tt2575770:-	
10	tt2587174:6.2	tt2600148:5.6	tt2612672:5.7	tt2627276:6.0	tt2640376:6.0	tt2656356:6.6	tt2671882:6.4	tt2698886:5.6	tt2714236:6.9	tt2727528:6.3	tt2745486:6.9	tt2762252:6.9	tt2778090:6.4	tt2792650:6.0	tt2807274:6.4	tt2824052:6.7	tt2841962:6.3	tt2856212:5.3	tt2876674:5.9	tt2896672:6.1	tt2911736:7.0	tt2926514:5.4	tt2940410:6.3	tt2954038:6.8	tt2968220:7.5	tt2984240:6.2	tt3000618:5.8	tt3016418:6.4	tt3033332:7.5	tt3054130:6.8	tt3068094:5.8	tt3084422:6.0	tt3101954:5.3	tt3111834:6.0	tt3126664:6.8	tt3141456:6.0	tt3156466:7.0	tt3171996:6.4	tt3187264:6.2	tt3230256:6.2	tt3238554:6.5	tt3251502:6.2	tt3273846:5.2	tt3282494:7.0	tt3290788:5.5	tt3307120:5.2	tt3323192:6.4	tt3337372:6.0	tt3354504:4.8	tt3372360:6.2	tt3389336:6.6	tt3402964:5.4	
11	tt3417748:5.6	tt3429266:6.2	tt3443418:6.8	tt3459302:6.2	tt3474818:6.0	tt3491002:6.2	tt3506646:5.4	tt3521630:6.2	tt3538904:5.8	tt3554778:6.6	tt3570126:5.0	tt3585400:-	tt3599364:6.4	tt3615694:6.7	tt3632548:6.2	tt3649684:6.6	tt3664648:6.0	tt3678892:6.0	tt3692922:6.7	tt3708182:4.8	tt3723160:-	tt3737736:5.4	tt3751766:4.6	tt3767448:-	tt3785346:5.6	tt3802516:6.2	tt3819396:5.2	tt3834432:6.2	tt3849286:6.2	tt3865132:-	tt3882786:7.0	tt3897004:6.6	tt3911958:-	tt3945500:6.4	tt3959014:6.4	tt3977544:5.8	tt3995268:-	tt4015362:-	tt4033032:6.4	tt4050956:6.4	tt4066670:-	tt4084444:-	tt4108536:-	tt4125556:7.0	tt4144132:5.6	tt4161886:-	tt4179752:-	tt4217572:-	tt4256500:-	tt4325286:-	tt5837372:-	tt5837378:-	
