1	tt0553727:-	tt0553728:-	tt4216960:-	tt4226402:-	tt4286052:-	tt4300366:-	tt4363104:-	tt4883454:-	
2	tt0553729:4.4	tt0553730:-	tt0553731:-	tt0553732:-	tt0553733:-	tt0553734:-	tt0553735:-	tt0553736:-	tt0553737:-	tt1099373:-	tt1099374:-	tt1099375:-	
3	tt0553738:-	tt0553739:-	tt0553740:-	tt0553741:-	tt0553742:-	tt0553743:-	tt0553744:-	tt0553745:-	tt0553746:-	tt0553747:-	tt0553748:-	
4	tt0769041:-	tt0772435:-	tt0774190:-	tt0778223:-	tt0780723:-	tt0783909:-	tt0788362:-	tt0789912:-	tt0797202:-	tt0799067:-	tt0812594:-	tt0813051:-	
5	tt0871108:-	tt0881581:-	tt0882221:-	tt0883637:-	tt0890243:-	tt0893927:-	tt0899610:-	tt0904293:-	tt0911263:-	tt0911264:-	
6	tt0971524:-	tt0976391:-	tt1104887:-	tt1108958:-	tt1108959:-	tt1118827:-	tt1119971:-	tt1127931:-	tt1127932:-	tt1159310:-	tt1167104:-	
14	tt10015352:-	tt10015354:-	tt10015358:-	tt10015362:-	tt10015366:-	tt4115304:-	tt4156714:-	tt4285684:-	tt4364720:-	tt4884072:-	
7	tt1164812:-	tt1168836:-	tt1173165:-	tt1178783:-	tt1178784:-	tt1182032:-	tt1182033:-	tt1182423:-	tt1182424:-	tt1195513:-	
8	tt1358302:-	tt1372432:-	tt1372822:-	tt1372823:-	tt1379803:-	tt1379804:-	tt1379805:-	tt1379806:-	tt1379807:-	tt1379808:-	
9	tt1471497:-	tt1476521:-	tt1476522:-	tt1559163:-	tt1570783:-	tt1570784:-	tt1570785:-	tt1594625:-	tt1594626:-	tt1594627:-	
10	tt1681416:-	tt1681417:-	tt1681418:-	tt1681419:-	tt1681420:-	tt1681421:-	tt1681422:-	tt1681423:-	tt1681424:-	tt1681425:-	
12	tt2143388:-	tt2148682:-	tt2148684:-	tt2148690:-	tt2785498:-	tt2807962:-	tt2838512:-	tt2851602:-	tt2886584:-	tt4077268:-	
11	tt2143852:-	tt2146064:-	tt2369983:-	tt2738270:-	tt2753924:-	tt2785406:-	tt2807044:-	tt2836122:-	tt2851268:-	tt2886388:-	
15	tt4882636:-	
\N	tt5347228:-	
