3	tt1129319:-	tt1129320:-	tt11618266:-	tt11618348:-	tt11618394:-	tt11618410:-	tt11618704:-	
1	tt11611402:-	tt11611814:-	tt11611968:-	tt11612104:-	tt11612244:-	tt11612320:-	
2	tt11617354:-	tt11617440:-	tt11617488:-	tt11617534:-	tt11617580:-	tt11617598:-	tt11617610:-	
4	tt11620866:-	tt11623008:-	tt11623012:-	tt11623014:-	tt11623016:-	tt11623018:-	tt11623020:-	tt11623022:-	tt11623024:-	
5	tt11623264:-	tt11623428:-	tt11623504:-	tt11623548:-	tt11623692:-	tt11623702:-	tt11623712:-	tt11623732:-	tt11623752:-	
6	tt11624600:-	tt11625184:-	tt11625328:-	tt11625458:-	tt11625524:-	tt11625620:-	tt11625656:-	tt11625700:-	tt11625736:-	tt11625786:-	tt11625826:-	tt11625868:-	tt11625892:-	
7	tt11640184:-	tt11640204:-	tt11640218:-	tt11640246:-	tt11640296:-	tt11640306:-	tt11640310:-	tt11640332:-	tt11640362:-	
8	tt11640578:-	tt11640644:-	tt11640662:-	tt11640684:-	tt11640734:-	tt11640786:-	tt11640804:-	tt11640858:-	tt11640928:-	tt11641006:-	
9	tt11646812:-	tt11646848:-	tt11646982:-	tt11646988:-	tt1826149:-	tt1826150:-	tt1826151:-	tt1826152:-	tt1826153:-	tt1826154:-	tt1831023:-	
10	tt11647134:-	tt11647184:-	tt11647202:-	tt11647214:-	tt11647226:-	tt11647276:-	tt11647288:-	tt11647304:-	tt11647326:-	
11	tt11651970:-	tt11651982:-	tt11652000:-	tt11652028:-	tt11652032:-	tt11652070:-	tt11652088:-	tt11652124:-	tt11652154:-	tt11652172:-	
12	tt11652632:-	tt11652652:-	tt11652672:-	tt11652684:-	tt11652698:-	tt11652746:-	tt11652764:-	tt11652792:-	tt11652814:-	tt11652860:-	
13	tt11653888:-	tt11654008:-	tt11654284:-	tt11654306:-	tt11654386:-	tt11654456:-	tt11654510:-	tt11654584:-	tt11654652:-	tt3839304:-	
14	tt11657776:-	tt11657808:-	tt11657818:-	tt11657832:-	tt11657846:-	tt11657858:-	tt11657876:-	tt11657880:-	tt11657886:-	tt11657894:-	
15	tt11658106:-	tt11658134:-	tt11658158:-	tt11658180:-	tt11658194:-	tt11658222:-	tt11658244:-	tt11658254:-	tt11658288:-	tt11658304:-	
16	tt11659612:-	tt11659994:-	tt11660010:-	tt11660030:-	tt11660080:-	tt11660138:-	tt11660194:-	tt11660272:-	tt11660312:-	tt11660390:-	
17	tt11664030:-	tt11664262:-	tt11664284:-	tt11664294:-	tt11664300:-	tt11664310:-	tt11664324:-	tt11664366:-	tt11664396:-	tt11664410:-	tt11664872:-	
18	tt11665144:-	tt11665220:-	tt11665296:-	tt11665348:-	tt11665400:-	tt11665500:-	tt11665540:-	tt11665578:-	tt11665660:-	tt11665698:-	tt11665706:-	
19	tt13649300:-	tt13649304:-	tt13649310:-	tt13649318:-	tt13649332:-	tt13649334:-	tt13649336:-	tt13649340:-	tt13649342:-	tt13649344:-	
