1	tt0768888:-	tt0768889:-	tt0768890:-	tt0768892:-	tt0768893:-	tt0768894:-	tt0768895:-	tt0768896:-	tt0768897:-	tt0768898:-	tt0768899:-	
2	tt1035792:-	tt1046280:-	tt1391931:-	tt1391932:-	tt1391933:-	tt1391934:-	tt1391935:-	tt1391936:-	tt1391937:-	tt1391938:-	tt1391939:-	tt1391940:-	
14	tt11086122:-	tt11096390:-	tt11143120:-	tt11143126:-	tt11143128:-	tt11366762:-	
3	tt1392295:-	tt1392296:-	tt1392297:-	tt1392298:-	tt1392299:-	tt1392300:-	tt1392301:-	tt1392302:-	tt1392303:-	tt1392304:-	tt1392305:-	tt1392306:-	tt1393043:-	
4	tt1404119:-	tt1408440:-	tt1413102:-	tt1417487:-	tt1422518:-	tt1427498:-	tt1432750:-	tt1437731:-	tt1441750:-	tt1445399:-	tt1445400:-	tt1445401:-	
5	tt1752079:-	tt1752080:-	tt1804172:-	tt2081995:-	tt2081996:-	tt2081997:-	tt2081998:-	tt2081999:-	tt2082000:-	tt2082001:-	tt2082002:-	tt2082003:-	
6	tt2082004:-	tt2082005:-	tt2082006:-	tt2082007:-	tt2082008:-	tt2082009:-	tt2082010:-	tt2082011:-	tt2082012:-	tt2082013:-	tt2082014:-	tt2082015:-	
7	tt2368065:-	tt2440160:-	tt2440172:-	tt2502162:-	tt2826698:-	tt2913286:-	tt2942304:-	tt2989980:-	tt3078084:-	tt3080252:-	tt3084176:-	tt3084702:-	
8	tt2920828:-	tt2923634:-	tt2925686:-	tt2935438:-	tt2960952:-	tt2969486:-	tt2984006:-	tt2996678:-	tt3070768:-	tt3070788:-	tt3070796:-	tt3070808:-	
9	tt4121646:-	tt4121652:-	tt4142904:-	tt4161504:-	tt4176900:-	tt4200088:-	tt4214988:-	tt4255022:-	tt4256318:-	tt4276012:-	tt4291842:-	tt4299760:-	
10	tt5119322:-	tt5120064:-	tt5138618:-	tt5164110:-	tt5182808:-	tt5226218:-	tt5226226:-	tt5231286:-	tt5250692:-	tt5270164:-	tt5276422:-	tt5293168:-	
12	tt7657062:-	tt7657078:-	tt7667148:-	tt7667158:-	tt7667190:-	tt8970532:-	tt8970536:-	tt8970560:-	tt8971134:-	tt8971148:-	tt8971164:-	tt8971172:-	
11	tt8971186:-	tt8971190:-	tt8971200:-	tt8971214:-	tt8971220:-	tt8971226:-	tt8971232:-	tt8971252:-	tt8994622:-	tt8997216:-	tt8997236:-	
13	tt9084770:-	tt9114702:-	tt9150530:-	tt9196168:-	tt9243606:-	tt9243614:-	tt9243616:-	tt9332722:-	tt9332724:-	tt9332726:-	tt9422474:-	tt9450550:-	
