1	tt0799142:-	tt1011513:-	tt1299014:-	tt1299015:-	tt1299017:-	tt1299020:-	tt1299021:-	tt1299030:-	tt1299035:-	tt1299036:-	tt1299038:-	tt1299041:-	tt1299585:-	tt4156224:-	
3	tt0994240:-	tt1061254:-	tt1093992:-	tt1299022:-	tt1299023:-	tt1299026:-	tt1299028:-	tt1299029:-	tt1299031:-	tt1299032:-	tt1299033:-	tt1299040:-	tt1299043:-	
138	tt10032768:-	tt10075016:-	tt10209942:-	tt10286758:-	tt11180880:-	tt11478898:-	tt9870916:-	tt9870948:-	tt9871086:-	tt9905616:-	tt9905618:-	tt9905628:-	
135	tt10032786:-	tt10137190:-	tt10245352:-	tt10391304:-	tt10419014:-	tt10469320:-	tt10488566:-	tt10784446:-	tt11449578:-	tt9627192:-	tt9674976:-	tt9794504:-	tt9828958:-	
\N	tt10032802:-	tt1011514:-	tt10497476:-	tt12564894:-	tt12605058:-	tt12655868:-	tt12719194:-	tt12719278:-	tt13773840:-	tt1558003:-	tt1577340:-	tt1729878:-	tt1781238:-	tt1782749:-	tt1906950:-	tt1934675:-	tt2242027:-	tt2982760:-	tt2982876:-	tt2991096:-	tt3000526:-	tt3029658:-	tt3064052:-	tt3148690:-	tt3151208:-	tt3204572:-	tt3220692:-	tt3236818:-	tt3238572:-	tt3400454:-	tt3415920:-	tt3417718:-	tt3435990:-	tt3443348:-	tt3454744:-	tt3456920:-	tt3459264:-	tt3472330:-	tt3474812:-	tt3482960:-	tt3485538:-	tt3487750:-	tt3490858:-	tt3500340:-	tt3502662:-	tt3504722:-	tt3506618:-	tt3521560:-	tt3529280:-	tt3533196:-	tt3538832:-	tt3548234:-	tt3550586:-	tt3553138:-	tt3554730:-	tt3563548:-	tt3565602:-	tt3567930:-	tt3570070:-	tt3585328:-	tt3594596:-	tt3597236:-	tt3599380:-	tt3615664:-	tt3627218:-	tt3632504:-	tt3644996:-	tt3649640:-	tt3672302:-	tt3674324:-	tt3676500:-	tt3678864:-	tt3686332:-	tt3688124:-	tt3690446:-	tt3692874:-	tt3700950:-	tt3703230:-	tt3705970:-	tt3708164:-	tt3718432:-	tt3721190:-	tt3723060:-	tt3730408:-	tt3737788:-	tt3747016:-	tt3751748:-	tt3757576:-	tt3762516:-	tt3764820:-	tt3767444:-	tt3775372:-	tt3780424:-	tt3780426:-	tt3782954:-	tt3800068:-	tt3800070:-	tt3802476:-	tt3809538:-	tt3815012:-	tt3817214:-	tt3819362:-	tt3825920:-	tt3832636:-	tt3834394:-	tt3841514:-	tt3847582:-	tt3849294:-	tt3855634:-	tt3873266:-	tt3878254:-	tt3882784:-	tt3888904:-	tt3896978:-	tt3902824:-	tt3909648:-	tt3911930:-	tt3917404:-	tt3921534:-	tt3945488:-	tt3952398:-	tt3969476:-	tt3972308:-	tt3974826:-	tt3977482:-	tt3979570:-	tt3981574:-	tt3989842:-	tt3989844:-	tt3992594:-	tt3995242:-	tt3997068:-	tt4000644:-	tt4009098:-	tt4011222:-	tt4015428:-	tt4017496:-	tt4019620:-	tt4027520:-	tt4029668:-	tt4033010:-	tt4035448:-	tt4037816:-	tt4045836:-	tt4048402:-	tt4050926:-	tt4053426:-	tt4055688:-	tt4062134:-	tt4064286:-	tt4066666:-	tt4068722:-	tt4071122:-	tt4078280:-	tt4081148:-	tt4084358:-	tt4086488:-	tt4088672:-	tt4102890:-	tt4105382:-	tt4108538:-	tt4110552:-	tt4112484:-	tt4119688:-	tt4121810:-	tt4122006:-	tt4125468:-	tt4127752:-	tt4137138:-	tt4141662:-	tt4144116:-	tt4146486:-	tt4148622:-	tt4156778:-	tt4161846:-	tt4164060:-	tt4166000:-	tt4173818:-	tt4177104:-	tt4179746:-	tt4193270:-	tt4195596:-	tt4198372:-	tt4201110:-	tt4203140:-	tt4229328:-	tt4236022:-	tt4249760:-	tt4256470:-	tt4296478:-	tt4304616:-	tt4307570:-	tt4309532:-	tt4318908:-	tt4320412:-	tt4324650:-	tt4334396:-	tt4340398:-	tt4351480:-	tt4363370:-	tt4378564:-	tt4383388:-	tt4386800:-	tt4389060:-	tt4389086:-	tt4400092:-	tt4403650:-	tt4410530:-	tt4424044:-	tt4426764:-	tt4431774:-	tt4444182:-	tt4449758:-	tt4450046:-	tt4450052:-	tt4450066:-	tt4450088:-	tt4450098:-	tt4450106:-	tt4450130:-	tt4450152:-	tt4450160:-	tt4450186:-	tt4450190:-	tt4450202:-	tt4450206:-	tt4450208:-	tt4450216:-	tt4450220:-	tt4450226:-	tt4450732:-	tt4450756:-	tt4450758:-	tt4450762:-	tt4450764:-	tt4461100:-	tt4464116:-	tt4469726:-	tt4480042:-	tt4483362:-	tt4493014:-	tt4499484:-	tt4505812:-	tt4517360:-	tt4520054:-	tt4522842:-	tt4524868:-	tt4529102:-	tt4529108:-	tt4533886:-	tt4551458:-	tt4571466:-	tt4574004:-	tt4589336:-	tt4594618:-	tt4596694:-	tt4610660:-	tt4613380:-	tt4615570:-	tt4625574:-	tt4629320:-	tt4632210:-	tt4634784:-	tt4647620:-	tt4650354:-	tt4652784:-	tt4655034:-	tt4663404:-	tt4665798:-	tt4668610:-	tt4674372:-	tt4684066:-	tt4686762:-	tt4691588:-	tt4701974:-	tt4704118:-	tt4711286:-	tt4716986:-	tt4722170:-	tt4722172:-	tt4728748:-	tt4736268:-	tt4744620:-	tt4744622:-	tt4767056:-	tt4769398:-	tt4781048:-	tt4781050:-	tt4781052:-	tt4799976:-	tt4840370:-	tt4854228:-	tt4856164:-	tt4865530:-	tt4877220:-	tt4883782:-	tt4885890:-	tt4901552:-	tt4905598:-	tt4907910:-	tt4915462:-	tt4917924:-	tt4942612:-	tt4969858:-	tt4969900:-	tt4971658:-	tt4974534:-	tt4998742:-	tt5000392:-	tt5000394:-	tt5016854:-	tt5022258:-	tt5032600:-	tt5038934:-	tt5041514:-	tt5051122:-	tt5053340:-	tt5061854:-	tt5075020:-	tt5080444:-	tt5082760:-	tt5086282:-	tt5091982:-	tt5094586:-	tt5096022:-	tt5118728:-	tt5121404:-	tt5124290:-	tt5134110:-	tt5135448:-	tt5137744:-	tt5141382:-	tt5145544:-	tt5147866:-	tt5157192:-	tt5160010:-	tt5162780:-	tt5165562:-	tt5168024:-	tt5175674:-	tt5178380:-	tt5180688:-	tt5185750:-	tt5194152:-	tt5199356:-	tt5201288:-	tt5203280:-	tt5211560:-	tt5211568:-	tt5211572:-	tt5242318:-	tt5291510:-	tt5311474:-	tt5311498:-	tt5311502:-	tt5314066:-	tt5318292:-	tt5320570:-	tt5353722:-	tt5378596:-	tt5433208:-	tt5443528:-	tt5513464:-	tt5517648:-	tt5540290:-	tt5540292:-	tt5540300:-	tt5540310:-	tt5540318:-	tt5540334:-	tt5540336:-	tt5540352:-	tt5540358:-	tt5540360:-	tt5540364:-	tt5540368:-	tt5540376:-	tt5540382:-	tt5546128:-	tt5546132:-	tt5546138:-	tt5546140:-	tt5546144:-	tt5555686:-	tt5564264:-	tt5595492:-	tt5610434:-	tt5619882:-	tt5630554:-	tt5654766:-	tt5654770:-	tt5671446:-	tt5677536:-	tt5698438:-	tt5730802:-	tt5733168:-	tt5746832:-	tt5747022:-	tt5747134:-	tt5747138:-	tt5753060:-	tt5762468:-	tt5790846:-	tt5811058:-	tt5917838:-	tt5953914:-	tt5973652:-	tt5980582:-	tt6097066:-	tt6097070:-	tt6098104:-	tt6109640:-	tt6129518:-	tt6187192:-	tt6201060:-	tt6210640:-	
137	tt10032812:-	tt10137148:-	tt10178552:-	tt10209916:-	tt10476700:-	tt9758120:-	tt9758128:-	tt9758132:-	tt9828898:-	tt9828946:-	
139	tt10075014:-	tt10116210:-	tt10116222:-	tt10116276:-	tt10178554:-	tt10245344:-	tt10309876:-	tt10391136:-	tt10488576:-	tt9871050:-	tt9905690:-	
2	tt1011512:-	tt1299013:-	tt1299016:-	tt1299018:-	tt1299019:-	tt1299024:-	tt1299025:-	tt1299027:-	tt1299034:-	tt1299037:-	tt1299039:-	tt1299042:-	tt1299044:-	
136	tt10137152:-	tt10488606:-	tt9552354:-	tt9552818:-	tt9591828:-	tt9628294:-	tt9628362:-	tt9674982:-	tt9674992:-	tt9758124:-	tt9794444:-	tt9794500:-	tt9828972:-	
140	tt10137156:-	tt10178522:-	tt10245332:-	tt10286692:-	tt10309872:-	tt10419040:-	tt10419046:-	tt10598254:-	tt10598268:-	tt10670862:-	tt10746658:-	tt10746668:-	tt12497244:-	
141	tt10209932:-	tt10286452:-	tt10350266:-	tt10350316:-	tt10350320:-	tt10476716:-	tt10529872:-	tt10529876:-	tt10562802:-	tt10562832:-	tt10670864:-	tt10670916:-	tt10859468:-	
142	tt10391266:-	tt10465616:-	tt10529880:-	tt10628456:-	tt10670874:-	tt10709612:-	tt10784432:-	tt10826324:-	tt10901544:-	tt10901560:-	tt10994508:-	tt10994544:-	tt11333054:-	
143	tt10419058:-	tt10529852:-	tt10562808:-	tt10562814:-	tt10597916:-	tt10598262:-	tt10628478:-	tt10628496:-	tt10628500:-	tt10670866:-	tt10709634:-	tt10784470:-	tt10933320:-	
144	tt10488568:-	tt10562822:-	tt10598256:-	tt10598276:-	tt10628464:-	tt10709614:-	tt10746672:-	tt10784456:-	tt10859362:-	tt10901538:-	tt10901552:-	tt10957724:-	tt11111974:-	
145	tt10670888:-	tt10709624:-	tt10746650:-	tt10746662:-	tt10784484:-	tt10826290:-	tt10859344:-	tt10859508:-	tt10901534:-	tt10933336:-	tt10957692:-	tt11295990:-	tt11333042:-	
146	tt10709620:-	tt10826306:-	tt10933328:-	tt10933330:-	tt10957754:-	tt11033864:-	tt11075690:-	tt11112000:-	tt11226006:-	tt11333020:-	tt11410262:-	tt11555446:-	
147	tt10826302:-	tt10859394:-	tt10957730:-	tt11033866:-	tt11075670:-	tt11075708:-	tt11075718:-	tt11147570:-	tt11259466:-	tt11369230:-	tt11410268:-	tt11703178:-	tt11754386:-	
4	tt1093993:-	tt1261205:-	tt1300662:-	tt1300668:-	tt1300671:-	tt1300673:-	tt1300677:-	tt1300682:-	tt1300683:-	tt1300687:-	tt1300689:-	tt1300693:-	tt1300694:-	
148	tt10994536:-	tt11075702:-	tt11111988:-	tt11147568:-	tt11147574:-	tt11147578:-	tt11259184:-	tt11259356:-	tt11295972:-	tt11332990:-	tt11369226:-	tt11369234:-	tt11555712:-	
149	tt10994546:-	tt11111956:-	tt11111994:-	tt11224732:-	tt11225988:-	tt11259288:-	tt11296108:-	tt11296138:-	tt11333012:-	tt11555656:-	tt11612942:-	tt11639090:-	tt11729914:-	
150	tt11225352:-	tt11225446:-	tt11259370:-	tt11295982:-	tt11332988:-	tt11333006:-	tt11449646:-	tt11613018:-	tt11803122:-	tt11803184:-	tt12066808:-	tt12073058:-	
151	tt11296128:-	tt11296130:-	tt11410318:-	tt11449476:-	tt11555538:-	tt11555558:-	tt11555692:-	tt11640000:-	tt11893250:-	
152	tt11333002:-	tt11410334:-	tt11478922:-	tt11555802:-	tt11612970:-	tt11640088:-	tt11640100:-	tt11640112:-	tt11803130:-	tt11893226:-	tt12287232:-	
153	tt11478944:-	tt11555756:-	tt11613036:-	tt11729946:-	tt11729952:-	tt11754348:-	tt11754350:-	tt11754358:-	tt11803138:-	tt11940506:-	tt12009160:-	tt13223194:-	tt13464158:-	
154	tt11703170:-	tt11729848:-	tt11729856:-	tt11754344:-	tt11803124:-	tt11803132:-	tt11835688:-	tt11840524:-	tt11891934:-	tt12780362:-	tt13381652:-	
155	tt11754320:-	tt11754330:-	tt11940532:-	tt12054484:-	tt12211508:-	tt12252670:-	tt12857156:-	tt12909140:-	tt13428956:-	tt13428960:-	tt13428970:-	tt13555282:-	
100	tt11961836:-	tt6216372:-	tt6221438:-	tt6422004:-	tt6465082:-	tt6607616:-	tt6629016:-	
94	tt11961942:-	tt12138970:-	tt5807186:-	tt6352308:-	tt6355000:-	tt7357122:-	
156	tt11969154:-	tt12054296:-	tt12093894:-	tt12093902:-	tt12093908:-	tt12132834:-	tt12826398:-	tt12998648:-	tt13464294:-	tt13555316:-	tt13589194:-	tt13766960:-	
103	tt12063392:-	tt12139006:-	tt6421986:-	tt6502544:-	
101	tt12063496:-	tt6408432:-	tt6421966:-	tt6422014:-	tt6768670:-	tt6826372:-	tt6924662:-	tt8453698:-	
96	tt12063562:-	tt5995418:-	tt6070728:-	tt6159758:-	tt6159782:-	tt6355068:-	tt7357142:-	
92	tt12066566:-	tt12138978:-	
157	tt12132764:-	tt12132802:-	tt12170724:-	tt12170728:-	tt12252650:-	tt12252660:-	tt12299398:-	tt12299402:-	tt12961440:-	tt13381648:-	tt13464182:-	tt13510292:-	
158	tt12228348:-	tt12343908:-	tt12998654:-	tt13223202:-	tt13254576:-	tt13254648:-	tt13254662:-	tt13254690:-	tt13303990:-	tt13341186:-	tt13589198:-	tt13589208:-	
159	tt12389890:-	tt12998720:-	tt13039818:-	tt13039834:-	tt13039840:-	tt13093210:-	tt13174244:-	tt13428978:-	tt13428994:-	tt13634704:-	tt13634726:-	tt13766974:-	
5	tt1261206:-	tt1261207:-	tt1300661:-	tt1300664:-	tt1300665:-	tt1300667:-	tt1300669:-	tt1300670:-	tt1300678:-	tt1300681:-	tt1300684:-	tt1300685:-	tt1300978:-	
160	tt12719310:-	tt13094086:-	tt13131690:-	tt13131706:-	tt13223206:-	tt13304000:-	tt13304008:-	tt13634716:-	
6	tt1300663:-	tt1300666:-	tt1300672:-	tt1300674:-	tt1300675:-	tt1300676:-	tt1300679:-	tt1300680:-	tt1300686:-	tt1300688:-	tt1300690:-	tt1300691:-	tt1300692:-	
161	tt13174238:-	tt13555292:-	tt13589228:-	tt13671380:-	
162	tt13341206:-	
7	tt1365233:-	tt1564665:-	tt1598261:-	tt1767751:-	tt2175398:-	tt5725398:-	tt5725406:-	tt5725408:-	
164	tt13671374:-	
166	tt13728636:-	
167	tt13728654:-	
8	tt1548671:-	tt1553521:-	tt1555558:-	tt1597378:-	tt1767750:-	tt1769863:-	tt1769864:-	tt1910959:-	tt1924863:-	
10	tt1555554:-	tt1555561:-	tt1558001:-	tt1558002:-	tt1763599:-	tt1763600:-	tt1763601:-	tt1766624:-	tt1913577:-	tt2064295:-	tt4156214:-	
9	tt1555555:-	tt1555556:-	tt1555557:-	tt1555559:-	tt1766620:-	tt1766621:-	tt1766622:-	tt1766623:-	
11	tt1555560:-	tt1577341:-	tt1673100:-	tt1721291:-	tt1763598:-	tt1782093:-	tt1910958:-	tt1923210:-	
12	tt1597554:-	tt1758190:-	tt1758191:-	tt1759156:-	tt1759157:-	tt1902528:-	tt1902529:-	tt1902530:-	tt1910957:-	tt1923211:-	tt1929662:-	tt1952358:-	
15	tt1622256:-	tt1637272:-	tt1762714:-	tt1762716:-	tt1763596:-	tt1763597:-	tt1763604:-	tt1765112:-	tt1765114:-	tt1766618:-	tt1902527:-	tt1902542:-	tt1902543:-	
16	tt1626691:-	tt1626692:-	tt1626693:-	tt1758193:-	tt1759158:-	tt1759159:-	tt1759161:-	tt1759163:-	tt1759164:-	tt2833952:-	tt2833956:-	tt2833964:-	tt2833968:-	
13	tt1644763:-	tt1721292:-	tt1750075:-	tt1755383:-	tt1759160:-	tt1761549:-	tt1767752:-	tt1769860:-	tt1902531:-	tt1902532:-	tt1910035:-	tt1910036:-	tt1962811:-	
14	tt1644764:-	tt1758192:-	tt1761550:-	tt1769861:-	tt1931971:-	tt1936413:-	tt1939086:-	
18	tt1721293:-	tt1750079:-	tt1763603:-	tt1766619:-	tt1902534:-	tt1902541:-	tt1919890:-	tt2011520:-	tt2016507:-	
17	tt1729877:-	tt1750076:-	tt1750077:-	tt1750078:-	tt1761551:-	tt1761552:-	tt1763602:-	tt1765113:-	tt1767747:-	tt1769862:-	tt1902533:-	tt1905625:-	tt1908811:-	
19	tt1747102:-	tt1750081:-	tt1761553:-	tt1767748:-	tt1815069:-	tt1902535:-	tt1902536:-	tt1902544:-	tt1919891:-	tt2387987:-	tt2724228:-	tt2725606:-	tt2725704:-	
20	tt1747103:-	tt1750080:-	tt1750082:-	tt1755384:-	tt1771350:-	tt1902537:-	tt1902538:-	tt1921753:-	tt1946951:-	tt2248390:-	tt2248392:-	tt2387983:-	tt2828562:-	
21	tt1846834:-	tt1846837:-	tt1846838:-	tt1846839:-	tt1846840:-	tt1846841:-	tt2264262:-	tt2387989:-	tt2387991:-	tt2828572:-	tt2828574:-	tt2828578:-	tt2828584:-	
23	tt1846835:-	tt1846836:-	tt1882626:-	tt1888988:-	tt1902539:-	tt1902540:-	tt1917756:-	tt1932976:-	tt1944368:-	tt1946952:-	tt1949737:-	tt1976795:-	tt2379095:-	
22	tt1870046:-	tt1876911:-	tt1910037:-	tt1913578:-	tt1919892:-	tt1925852:-	tt1928666:-	tt1955715:-	tt1955716:-	tt1958733:-	tt1992775:-	tt2132821:-	tt2828590:-	
25	tt1897375:-	tt1957188:-	tt1958734:-	tt1974707:-	tt1977394:-	tt1981866:-	tt1989864:-	tt2008167:-	tt2040875:-	tt2045387:-	tt2068011:-	tt2112537:-	tt2847672:-	
