8	tt2419032:-	tt2419036:-	tt2419038:-	tt2419040:-	tt2419042:-	tt2419044:-	tt2419048:-	tt2419052:-	tt2419054:-	tt2419056:-	
1	tt5263124:-	tt5263126:-	tt5263128:-	tt5263130:-	tt5263132:-	tt5263134:-	tt5263168:-	tt5263172:-	
2	tt5263736:-	tt5263738:-	tt5263740:-	tt5265798:-	tt5265804:-	tt5265810:-	tt5265814:-	tt5265818:-	tt5265826:-	
3	tt5284140:-	tt5284142:-	tt5284148:-	tt5284154:-	tt5284170:-	tt5284184:-	tt5284190:-	tt5284202:-	tt5284204:-	
11	tt5372498:-	tt5372502:-	tt5372508:-	tt5372516:-	tt5372520:-	tt5372526:-	tt5372530:-	tt5372532:-	tt5372534:-	
\N	tt5372540:-	tt5372546:-	tt5372548:-	tt5372560:-	tt5372562:-	tt5372586:-	tt5372592:-	tt5372598:-	tt5372604:-	tt5372608:-	tt5372622:-	tt5372762:-	tt5372772:-	tt5372776:-	tt5374488:-	tt5374710:-	tt5374740:-	tt5374854:-	tt5374898:-	tt5374992:-	tt5375006:-	tt5375010:-	tt5375016:-	tt5375024:-	tt5375046:-	tt5375050:-	tt5375076:-	tt5375090:-	tt5390394:-	tt5440286:-	tt5443348:-	tt5443350:-	tt5443636:-	tt5443674:-	tt5443676:-	tt5443678:-	tt5451788:-	tt5451790:-	tt5451796:-	tt5451800:-	tt5456314:-	tt5456368:-	tt5456374:-	tt5456416:-	tt5456468:-	tt5456520:-	tt5456552:-	tt5875638:-	tt5875644:-	
10	tt5374528:-	tt5374554:-	tt5374558:-	tt5374612:-	tt5374620:-	tt5374626:-	tt5374654:-	tt5374668:-	tt5374680:-	
9	tt5374904:-	tt5374914:-	tt5374918:-	tt5374928:-	tt5374936:-	tt5374952:-	tt5374962:-	tt5374978:-	tt5374980:-	
4	tt5443272:-	tt5443274:-	tt5443278:-	tt5443284:-	tt5443290:-	tt5443294:-	tt5443298:-	tt5443322:-	tt5443344:-	
5	tt5443640:-	tt5443646:-	tt5443652:-	tt5443654:-	tt5443656:-	tt5443660:-	tt5443664:-	tt5443670:-	tt5443672:-	
6	tt5451350:-	tt5451354:-	tt5451356:-	tt5451368:-	tt5451372:-	tt5451374:-	tt5451376:-	tt5451386:-	tt5451388:-	
7	tt5451410:-	tt5451430:-	tt5451438:-	tt5451444:-	tt5451456:-	tt5451476:-	tt5451478:-	tt5451488:-	tt5451492:-	tt5451496:-	
