1	tt5850852:-	tt5850868:-	tt5850876:-	tt5850890:-	tt5850896:-	tt5850950:-	tt5850960:-	tt5850972:-	tt5850986:-	tt6164468:-	
2	tt6164486:-	tt6164492:-	tt6164496:-	tt6164498:-	tt6164500:-	tt6164504:-	tt6164514:-	tt6164524:-	tt6164528:-	tt6164536:-	tt6164550:-	tt6164558:-	
3	tt6164566:-	tt6164572:-	tt6164584:-	tt6164588:-	tt6164592:-	tt6164596:-	tt6164598:-	tt6164602:-	tt6164606:-	tt6164610:-	tt6164620:-	tt6164622:-	tt6164628:-	
4	tt6164638:-	tt6164642:-	tt6164654:-	tt6164664:-	tt6164670:-	tt6164674:-	tt6164678:-	tt6164684:-	tt6164688:-	tt6164694:-	tt6164704:-	tt6164714:-	tt6164718:-	
5	tt6171380:-	tt6171394:-	tt6171396:-	tt6171398:-	tt6171400:-	tt6171406:-	tt6171410:-	tt6171418:-	tt6171422:-	tt6171426:-	tt6171432:-	tt6171440:-	tt6171444:-	
6	tt6171456:-	tt6171478:-	tt6171484:-	tt6171488:-	tt6171496:-	tt6171502:-	tt6171516:-	tt6171520:-	tt6171528:-	tt6171536:-	tt6171542:-	tt6171552:-	tt6197794:-	
7	tt6171568:-	tt6171578:-	tt6171590:-	tt6171594:-	tt6171604:-	tt6171616:-	tt6171634:-	tt6171644:-	tt6171654:-	tt6171666:-	tt6171728:-	tt6171764:-	tt6171770:-	
8	tt6171776:-	tt6171778:-	tt6171782:-	tt6171784:-	tt6171792:-	tt6171794:-	tt6171800:-	tt6171808:-	tt6171810:-	tt6171816:-	tt6171822:-	tt6171832:-	tt6171844:-	
9	tt6171858:-	tt6171860:-	tt6171868:-	tt6171880:-	tt6171892:-	tt6171900:-	tt6171910:-	tt6171920:-	tt6171932:-	tt6171946:-	tt6171956:-	tt6171962:-	tt6171966:-	
10	tt6171972:-	tt6171976:-	tt6171984:-	tt6171992:-	tt6171996:-	tt6172008:-	tt6172026:-	tt6172038:-	tt6172040:-	tt6172056:-	tt6172062:-	tt6172066:-	tt6172082:-	
11	tt6197796:-	tt6197798:-	tt6197800:-	tt6197802:-	tt6197804:-	tt6197806:-	tt6197812:-	tt6197818:-	tt6197820:-	tt6197822:-	tt6197824:-	tt6197828:-	tt6197830:-	
12	tt6197834:-	tt6197836:-	tt6197838:-	tt6197840:-	tt6197842:-	tt6197844:-	tt6197856:-	tt6197866:-	tt6197878:-	tt6197882:-	tt6197884:-	tt6197888:-	tt6197890:-	
13	tt6197906:-	tt6197910:-	tt6197914:-	tt6197918:-	tt6197922:-	tt6197924:-	tt6197932:-	tt6197936:-	tt6197938:-	tt6197942:-	tt6197944:-	tt6197946:-	tt6197954:-	
14	tt6197956:-	tt6197958:-	tt6197964:-	tt6197966:-	tt6197968:-	tt6197970:-	tt6197974:-	tt6197976:-	tt6197980:-	tt6197984:-	tt6197986:-	tt6197988:-	tt6197990:-	
15	tt6218780:-	tt6218782:-	tt6218784:-	tt6218788:-	tt6218792:-	tt6218796:-	tt6218798:-	tt6218800:-	tt6218804:-	tt6218806:-	tt6218808:-	tt6218810:-	
16	tt6218816:-	tt6218818:-	tt6218828:-	tt6218834:-	tt6218842:-	tt6218844:-	tt6218848:-	tt6218850:-	tt6218854:-	tt6218856:-	tt6218860:-	tt6218862:-	tt6218864:-	
17	tt6218868:-	tt6218872:-	tt6218878:-	tt6218880:-	tt6218884:-	tt6218886:-	tt6218896:-	tt6218902:-	tt6218904:-	tt6218906:-	tt6218912:-	tt6218916:-	tt6218918:-	
