1	tt10325080:-	tt10325104:-	tt10325112:-	tt10325124:-	tt10325134:-	tt10325136:-	tt10325148:-	tt10325168:-	tt10325200:-	tt10325208:-	tt10325220:-	tt10325230:-	
2	tt10325248:-	tt10325254:-	tt10325266:-	tt10325274:-	tt10325286:-	tt10325300:-	tt10325372:-	tt10325390:-	tt10325418:-	tt10325424:-	tt10325436:-	tt10325440:-	tt10325454:-	
3	tt10325492:-	tt10325498:-	tt10325504:-	tt10325506:-	tt10325510:-	tt10325512:-	tt10325518:-	tt10325520:-	tt10325528:-	tt10325544:-	tt10325558:-	tt10325572:-	tt10325574:-	
4	tt10325584:-	tt10325596:-	tt10325604:-	tt10325608:-	tt10325610:-	tt10325612:-	tt10325616:-	tt10325626:-	tt10325640:-	tt10325644:-	tt10325838:-	tt10325842:-	tt10325850:-	
5	tt10326112:-	tt10326118:-	tt10326124:-	tt10326126:-	tt10326128:-	tt10326130:-	tt10326132:-	tt10326134:-	tt10326136:-	tt10326138:-	tt10326140:-	tt10326144:-	tt10326146:-	
6	tt10326152:-	tt10326154:-	tt10326156:-	tt10326158:-	tt10326168:-	tt10326180:-	tt10326186:-	tt10326192:-	tt10326194:-	tt10326198:-	tt10326200:-	tt10326206:-	tt10326208:-	
7	tt10326212:-	tt10326214:-	tt10326224:-	tt10326232:-	tt10326236:-	tt10326246:-	tt10326248:-	tt10326252:-	tt10326256:-	tt10326258:-	tt10326348:-	tt10326354:-	tt10326360:-	
8	tt10326484:-	tt10326490:-	tt10326492:-	tt10326498:-	tt10326500:-	tt10326504:-	tt10326506:-	tt10326514:-	tt10326518:-	tt10326524:-	tt10326526:-	tt10326528:-	tt10326534:-	
9	tt10326540:-	tt10326546:-	tt10326550:-	tt10326552:-	tt10326558:-	tt10326562:-	tt10326566:-	tt10326568:-	tt10326574:-	tt10326586:-	tt10326594:-	tt10326602:-	tt10326614:-	
10	tt10326632:-	tt10326642:-	tt10326658:-	tt10326668:-	tt10326686:-	tt10326700:-	tt10326716:-	tt10326850:-	tt10326852:-	tt10326856:-	tt10326858:-	tt10326860:-	tt10326864:-	
11	tt10326956:-	tt10326958:-	tt10326964:-	tt10326972:-	tt10326974:-	tt10326984:-	tt10326986:-	
