1	tt1208421:-	tt1208422:-	tt1214566:-	tt1237728:-	tt1253219:-	tt1253220:-	tt1253221:-	tt1253223:-	tt1253224:-	tt1253225:-	tt1253226:-	tt1253231:-	tt1253233:-	
2	tt1253218:-	tt1253222:-	tt1253227:-	tt1253228:-	tt1253229:-	tt1253230:-	tt1253232:-	tt1253234:-	tt1253235:-	tt1253236:-	tt1294520:-	tt1298357:-	
3	tt1305421:-	tt1305422:-	tt1309305:-	tt1312717:-	tt1318288:-	tt1327125:-	tt1327126:-	tt1327127:-	tt1333489:-	tt1336844:-	tt1341603:-	tt1365908:-	tt1365909:-	tt1402927:-	
4	tt1365906:-	tt1365907:-	tt1365910:-	tt1365911:-	tt1403701:-	tt1403702:-	tt1403703:-	tt1403704:-	tt1403705:-	tt1403706:-	tt1403708:-	tt1407718:-	tt1410890:-	tt1415096:-	tt1421787:-	
5	tt1520073:-	tt1524815:-	tt1529499:-	tt1533460:-	tt1561697:-	tt1561698:-	tt1561699:-	tt1561700:-	tt1561701:-	tt1561702:-	tt1580761:-	tt1580762:-	tt1580763:-	tt1584444:-	tt1592005:-	
6	tt1583665:-	tt1584443:-	tt1592004:-	tt1597651:-	tt1597652:-	tt1605399:-	tt1611526:-	tt1611527:-	tt1624149:-	tt1624150:-	tt1624151:-	tt1633788:-	tt1635778:-	tt1641872:-	tt1641873:-	
7	tt1741897:-	tt1741898:-	tt1741899:-	tt1774985:-	tt1774986:-	tt1775903:-	tt1775904:-	tt1793624:-	tt1793625:-	tt1793626:-	tt1793627:-	tt1793628:-	tt1804939:-	tt1804940:-	tt1804941:-	
8	tt1811162:-	tt1814278:-	tt1820152:-	tt1825434:-	tt1835501:-	tt1840747:-	tt1844482:-	tt2319318:-	tt2319326:-	tt2319458:-	tt2319478:-	tt2319586:-	tt2319590:-	tt2319592:-	tt2319594:-	
9	tt2319320:-	tt2319346:-	tt2319404:-	tt2319416:-	tt2319418:-	tt2319428:-	tt2319430:-	tt2319442:-	tt2319454:-	tt2319464:-	tt2319486:-	tt2319600:-	tt2319604:-	tt2319608:-	tt7849414:-	
10	tt2319358:-	tt2319472:-	tt2319492:-	tt2319498:-	tt2319510:-	tt2319524:-	tt2319540:-	tt2319548:-	tt2319550:-	tt2319552:-	tt2319558:-	tt2319562:-	tt2319566:-	tt2319568:-	tt2319574:-	
11	tt2403996:-	tt2414820:-	tt2427906:-	tt2442310:-	tt2457024:-	tt2469838:-	tt2476646:-	tt2476662:-	tt2501588:-	tt2508708:-	tt2524436:-	tt2535454:-	tt2535462:-	tt2535466:-	tt2597248:-	
12	tt2616100:-	tt2630206:-	tt2642042:-	tt2655946:-	tt2655952:-	tt2693812:-	tt2693818:-	tt2731490:-	tt2768030:-	tt2768048:-	tt2779952:-	tt2792810:-	tt2813750:-	tt2813752:-	tt2813762:-	tt2813766:-	tt2909882:-	tt2909892:-	tt2929970:-	tt2940078:-	
13	tt3213328:-	tt3229890:-	tt3229902:-	tt3250806:-	tt3282716:-	tt3320704:-	tt3320708:-	tt3332302:-	tt3358412:-	tt3358414:-	tt3391538:-	tt3399256:-	tt3399260:-	tt3399270:-	tt3438680:-	
14	tt3454300:-	tt3495970:-	tt3495982:-	tt3510448:-	tt3520060:-	tt3553322:-	tt3558344:-	tt3573390:-	tt3594446:-	tt3613476:-	tt3666624:-	tt3666630:-	tt3666638:-	tt4103082:-	tt4103084:-	
15	tt4103090:-	tt4114436:-	tt4131530:-	tt4161388:-	tt4162274:-	tt4168192:-	tt4221256:-	tt4221260:-	tt4247500:-	
16	tt4929884:-	tt4929888:-	tt4929892:-	tt4929896:-	tt4929898:-	tt4929908:-	tt4951870:-	tt4951872:-	tt4968962:-	tt4990684:-	tt5100220:-	tt5100222:-	tt5100254:-	tt5100262:-	
