2	tt12655146:-	tt12655152:-	tt12655156:-	tt12655162:-	tt12655166:-	
1	tt12655150:-	
3	tt12655170:-	tt12655172:-	tt12655204:-	
4	tt12655220:-	tt12655234:-	tt12655246:-	tt12655260:-	
5	tt12655386:-	tt12655398:-	tt12655400:-	tt12655402:-	
6	tt12655406:-	tt12655410:-	
7	tt12655414:-	tt12655418:-	tt12655420:-	tt12655426:-	
8	tt12655430:-	tt12655432:-	tt12655450:-	tt12655456:-	
9	tt12655470:-	tt12655474:-	tt12655492:-	tt12655494:-	tt12655514:-	
10	tt12655992:-	tt12656000:-	tt12656006:-	tt12656010:-	
11	tt12656020:-	tt12656026:-	tt12656032:-	tt12656040:-	tt12656048:-	
12	tt12656064:-	tt12656070:-	tt12656090:-	tt12656092:-	
13	tt12656112:-	tt12656118:-	tt12656122:-	tt12656124:-	
14	tt12668514:-	tt12668546:-	tt12668568:-	tt12668604:-	tt12668612:-	
15	tt12668648:-	tt12668672:-	tt12668706:-	tt12668716:-	
16	tt12668780:-	tt12668802:-	tt12668838:-	tt12668852:-	
17	tt12668896:-	tt12761694:-	tt12761724:-	tt12761756:-	
18	tt12761766:-	tt12761806:-	tt12851662:-	
