1	tt14279488:-	tt14279528:-	tt14279606:-	tt14279616:-	tt14279630:-	tt14279634:-	tt14279640:-	tt14279712:-	
2	tt14287034:-	tt14287202:-	tt14291412:-	
6	tt14287046:-	
13	tt14287062:-	tt14331618:-	tt14331638:-	
14	tt14287068:-	tt14287070:-	tt14287074:-	tt14287080:-	tt14287406:-	tt14305286:-	
15	tt14287092:-	tt14287112:-	tt14305310:-	tt14331488:-	tt14331592:-	
16	tt14287096:-	tt14291254:-	
17	tt14287102:-	tt14287104:-	tt14291298:-	tt14304804:-	tt14305224:-	tt14305260:-	tt14305660:-	
18	tt14287108:-	tt14291616:-	
3	tt14287212:-	tt14331670:-	
10	tt14287430:-	tt14331536:-	
4	tt14291522:-	tt14331608:-	
9	tt14331468:-	tt14331566:-	tt14331570:-	
12	tt14331520:-	
11	tt14331650:-	tt14331682:-	
5	tt14344070:-	tt14344180:-	
8	tt14344220:-	
