9	tt14609566:-	tt14614470:-	tt14614498:-	
1	tt14613894:-	tt14613900:-	tt14613914:-	tt14613928:-	tt14613940:-	tt14613960:-	tt14613972:-	tt14613980:-	
2	tt14614046:-	tt14614124:-	tt14614126:-	tt14614132:-	tt14614142:-	tt14614154:-	tt14614174:-	tt14614188:-	tt14614192:-	tt14614198:-	tt14614206:-	
3	tt14614210:-	tt14614250:-	
4	tt14614266:-	tt14614284:-	
5	tt14614296:-	tt14614324:-	tt14614382:-	
6	tt14614396:-	tt14614414:-	
7	tt14614426:-	tt14614458:-	
8	tt14614462:-	tt14614466:-	
10	tt14614512:-	tt14614522:-	
11	tt14614534:-	tt14614570:-	
12	tt14614578:-	tt14614580:-	
13	tt14614590:-	tt14614610:-	
