17	tt10041496:-	tt10041506:6.2	tt10041508:-	tt10041512:-	tt10041516:-	tt10041530:-	tt10041538:-	tt10041546:7.2	tt10041550:-	tt10041556:-	tt10041576:-	tt10041578:-	tt10431844:-	
18	tt10905508:-	tt10905512:-	tt10905514:-	tt10905518:-	tt10905520:-	tt10905532:-	tt10905538:-	tt10905542:-	tt10905548:-	tt11152674:-	tt11192942:-	tt11417810:-	tt11417822:-	
19	tt11958794:-	tt11958798:-	tt11958800:-	tt11958802:-	tt11958804:-	tt11958808:-	tt11981508:-	tt11981510:-	tt11981512:-	tt12363112:-	tt12411986:-	tt12445944:-	
20	tt11981514:-	tt11981520:-	tt11981526:-	tt13103406:-	tt13103408:-	tt13103410:-	tt13351038:-	tt13392078:-	tt13432422:-	tt13476096:-	tt13521098:-	tt13561380:-	
1	tt1936530:6.8	tt1936531:6.2	tt1942460:5.5	tt1942461:7.2	tt1948911:6.4	tt1948912:6.6	tt1948913:7.0	tt1948914:7.2	
2	tt2063380:6.7	tt2070293:7.7	tt2075801:7.5	tt2081802:7.5	tt2088385:7.2	tt2093632:7.6	tt2099261:7.0	tt2105611:7.8	tt2111779:7.1	tt2111780:7.8	tt2122776:7.5	tt2133707:8.0	
3	tt2163112:7.2	tt2163118:7.7	tt2189608:6.5	tt2303749:7.6	tt2341161:7.0	tt2341163:7.7	tt2341165:7.2	tt2341167:7.6	tt2364009:7.6	tt2364011:7.3	tt2364013:7.5	
4	tt2436332:6.4	tt2458394:7.6	tt2458396:7.2	tt2473652:7.2	tt2473654:7.7	tt2473656:7.7	tt2473658:7.5	tt2539374:7.4	tt2539378:7.2	tt2566886:7.5	tt2579074:6.9	tt2592416:-	
5	tt2802576:7.6	tt2802578:6.9	tt2802586:7.0	tt2802590:7.6	tt2802592:7.6	tt2802594:7.6	tt2802596:7.2	tt2802598:7.4	tt2945468:7.6	tt2945470:7.2	tt2973764:6.8	tt2989934:-	
6	tt3262264:7.2	tt3262268:7.6	tt3262270:7.2	tt3262274:7.8	tt3262276:7.2	tt3262278:7.6	tt3262282:7.8	tt3262286:7.6	tt3262288:7.2	tt3262290:7.7	tt3407074:7.5	tt3407076:-	
7	tt3625842:7.6	tt3625844:6.9	tt3625846:7.6	tt3625850:7.6	tt3625852:7.6	tt3625854:7.4	tt3625856:7.6	tt3625858:7.6	tt3757108:7.6	tt3757112:7.7	tt3773888:7.6	
8	tt4095584:7.0	tt4095586:7.2	tt4095588:7.2	tt4095592:7.0	tt4095596:7.6	tt4095598:7.7	tt4095602:6.7	tt4206466:7.0	tt4206468:7.2	tt4244820:7.2	tt4264988:6.4	tt4284022:7.7	
9	tt4585838:6.4	tt4585840:6.8	tt4585842:6.8	tt4585844:7.2	tt4585846:7.0	tt4585848:7.2	tt4585850:7.7	tt4585852:6.8	tt4709356:7.2	tt4709370:7.2	tt4709374:7.2	tt4778758:7.8	
10	tt5096892:7.0	tt5096894:7.0	tt5097776:7.6	tt5098286:7.7	tt5126932:7.6	tt5126934:7.0	tt5171326:7.2	tt5171328:7.2	tt5255202:7.2	tt5270714:7.0	tt5288000:7.0	tt5300922:-	
11	tt5612524:6.2	tt5612526:7.2	tt5612528:7.2	tt5612530:7.0	tt5612534:7.2	tt5612536:7.4	tt5612540:6.8	tt5612542:7.2	tt5612544:7.8	tt5612548:7.0	tt5806252:7.4	tt5806256:7.2	
12	tt6107582:-	tt6107584:-	tt6107586:-	tt6107588:-	tt6107590:-	tt6107594:-	tt6107596:-	tt6107598:-	tt6264194:-	tt6264198:-	tt6264202:-	tt6264204:-	
13	tt6645736:6.2	tt6645738:-	tt6645740:-	tt6645742:-	tt6645748:-	tt6645750:-	tt6816462:-	tt6816466:-	tt6816468:-	tt6816470:-	tt6816478:-	tt6816484:-	
14	tt7331700:-	tt7331702:-	tt7331706:-	tt7331708:-	tt7331710:-	tt7331714:-	tt7331716:-	tt7331718:-	tt7656892:-	tt7656896:-	tt7656902:-	tt7747982:8.0	
15	tt8129378:-	tt8129380:-	tt8129384:-	tt8129388:-	tt8129390:-	tt8129392:-	tt8129394:-	tt8129396:7.6	tt8129404:-	tt8129406:-	tt8129410:-	tt8129412:-	
16	tt9053394:8.0	tt9053396:-	tt9053398:-	tt9053402:-	tt9053410:-	tt9053412:6.0	tt9053414:-	tt9053418:-	tt9266632:-	tt9266634:-	tt9266636:6.2	tt9390250:8.2	
