15	tt10027424:-	tt10027442:-	tt10027448:-	tt10027456:-	tt10027464:-	tt10027480:-	tt10027486:-	tt10027492:-	tt10027504:-	tt10027516:-	tt10065174:-	tt10106112:-	tt10161294:-	
5	tt10027524:-	tt10027536:-	tt10027548:-	tt10027566:-	tt10027580:-	tt10027586:-	tt10027592:-	tt3618924:-	tt3618930:-	tt3618938:-	tt3618946:-	tt3618952:-	tt3618958:-	tt3619000:-	
6	tt10027604:-	tt10027616:-	tt10027622:-	tt10027628:-	tt10027644:-	tt10027650:-	tt10027664:-	tt10027676:-	tt10027684:-	tt10027694:-	tt10027698:-	tt10027710:-	tt10027718:-	tt10027732:-	
7	tt10027742:-	tt10027752:-	tt10027758:-	tt10027764:-	tt10027776:-	tt10027790:-	tt10027806:-	tt10027852:-	tt10027860:-	tt10027866:-	tt10027870:-	tt10027880:-	tt10027884:-	tt10027886:-	
8	tt10027890:-	tt10027900:-	tt10027902:-	tt10027910:-	tt10027918:-	tt10034134:-	tt10034138:-	tt10034142:-	tt10034146:-	tt10034154:-	tt10034224:-	tt10034240:-	tt7774488:-	
9	tt10034260:-	tt10034276:-	tt10034282:-	tt10034304:-	tt10034322:-	tt10034336:-	tt10034340:-	tt10034346:-	tt10034350:-	tt10034356:-	tt10034360:-	tt10034362:-	tt10034368:-	tt10034374:-	
10	tt10034376:-	tt10034382:-	tt10034388:-	tt10034392:-	tt10034398:-	tt10034470:-	tt10034478:-	tt10034492:-	tt10034924:-	tt10034944:-	tt10034966:-	tt10034980:-	tt10034992:-	tt10035000:-	
11	tt10035010:-	tt10035016:-	tt10035020:-	tt10035028:-	tt10035036:-	tt10035040:-	tt10035048:-	tt10035054:-	tt10035060:-	tt10035062:-	tt10035064:-	tt10035072:-	tt10035082:-	tt6426188:-	
12	tt10035084:-	tt10035854:-	tt10035894:-	tt10035906:-	tt10035926:-	tt10035958:-	tt10036918:-	tt10036934:-	tt10036940:-	tt10037064:-	tt10037082:-	tt10037096:-	tt10037108:-	tt10037120:-	
13	tt10037126:-	tt10037142:-	tt10037168:-	tt10037184:-	tt10037192:-	tt10037220:-	tt10037240:-	tt10037262:-	tt7932372:-	tt8187716:-	tt8380752:-	tt8380780:-	tt8380786:-	tt8380792:-	
14	tt10037370:-	tt10037392:-	tt10037432:-	tt10037450:-	tt10037456:-	tt10037462:-	tt10037472:-	tt10037496:-	tt10037504:-	tt9237842:-	tt9331934:-	
1	tt3612070:-	tt3616726:-	tt3618864:-	tt3640104:-	tt3654322:-	tt4058158:-	tt5105586:-	tt5105658:-	tt5105678:-	tt5105724:-	tt5105748:-	tt5105778:-	
3	tt3619040:-	tt5154278:-	tt5154284:-	tt5154290:-	tt5154294:-	tt5154300:-	tt5154314:-	tt5154372:-	tt5154418:-	tt5154440:-	tt5154522:-	tt5154534:-	tt5154546:-	tt5154562:-	
2	tt5105788:-	tt5105820:-	tt5105832:-	tt5105846:-	tt5105854:-	tt5105862:-	tt5105918:-	tt5105940:-	tt5105950:-	tt5105964:-	tt5105982:-	tt5105992:-	tt5106008:-	tt5106016:-	
4	tt5295242:-	tt5295244:-	tt5295246:-	tt5295252:-	tt5295256:-	tt5295260:-	tt5295262:-	tt5295266:-	tt5295270:-	tt5295272:-	tt5295276:-	tt5295282:-	tt5295284:-	tt5295288:-	
\N	tt6610778:-	tt6697426:-	tt7414936:-	
