8	tt10163168:7.4	tt10189506:7.5	tt10228776:7.5	tt10264322:8.2	tt9431044:7.4	
9	tt10816632:7.7	tt11122860:7.2	tt11122864:7.9	tt11122866:6.9	
10	tt10816642:-	
\N	tt13075776:-	tt13075778:-	tt13075782:-	tt13075784:-	
1	tt4961652:7.6	tt4961654:7.7	tt5030150:7.6	tt5030168:7.6	
2	tt5322938:8.4	tt5430346:7.7	tt5430350:8.2	tt5430354:7.7	tt5609046:7.2	tt5609048:7.6	tt5643072:7.5	tt5643140:7.8	
3	tt6104020:7.2	tt6110956:8.3	tt6152154:7.8	tt6152168:7.8	
4	tt6362100:7.5	tt6617712:7.8	tt6661584:8.0	tt6681806:6.4	tt7007424:7.8	
5	tt7517708:7.8	tt7527776:7.2	tt7551878:7.8	tt7562822:7.5	
6	tt7716308:8.5	tt8198036:8.1	tt8238070:7.6	tt8259810:7.8	tt8293844:6.7	
7	tt8945256:7.6	tt8986256:6.3	tt9025356:7.1	tt9025358:7.4	
